,q,ch,a,answer_mcq,score
14,19. Berikut yang tidak termasuk perbedaan antara pasar perdana dan pasar sekunder adalah  ,"a. pada pasar perdana harga tidak berubah, sedangkan pada pasar sekunder harga ditentukan oleh mekanisme pasar
b. transaksi perdagangan di pasar sekunder tidak dikenakan biaya komisi, sedangkanpasar perdana terdapat biaya komisi
c. pada pasar perdana hanya terjadi pembelian saham sedangkan di pasar sekunder dapat terjadi jual beli saham
d. Dari sudut pandang jangka waktu, pasar perdana memiliki batas waktu, sedangkan pasar sekunder tidak
e. Di pasar sekunder semua transaksi harus melalui pialang sedangkan pada pasar perdana tidak demikian",Jawaban : B ,"Jawaban yang benar adalah:

c. pada pasar perdana hanya terjadi pembelian saham sedangkan di pasar sekunder dapat terjadi jual beli saham",0
15,"20. Berikut istilah yang berarti perusahaan menerbitkan saham untuk pertama kali kepada masyarakat, kecuali  ","a. go public 
b. IPO
c. investasi modal
d. pasar perdana
e. primary market",Jawaban : C ,"Jawaban:

c. investasi modal",1
16,21. Bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah  ,"a. perusahaan perorangan
b. firma 
c. CV 
d. perseroan terbatas
e. perusahaan daerah",Jawaban : D ,"Berdasarkan informasi yang diberikan dalam konteks, bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah perseroan terbatas (PT). Hal ini sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2021 tentang Penerapan Klasifikasi Saham dengan Hak Suara Multipel oleh Emiten dengan Inovasi dan Tingkat Pertumbuhan Tinggi yang Melakukan Penawaran Umum Efek Bersifat Ekuitas Berupa Saham, pada Bab IV Aksi Korporasi, Pasal 31.",1
17,"23. Dari beberapa fungsi pasar modal di bawah ini, yang secara langsung menguntungkan pemerintah adalah  ","a. sarana untuk mendapatkan tambahan modal 
b. sarana pemerataan pendapatan
c. memperbesar produksi nasional
d. meningkatkan pemasukan pajak
e. meminimalkan jumlah pengangguran",Jawaban : D ,"Dalam konteks yang diberikan, tidak ada informasi yang secara spesifik menjelaskan fungsi pasar modal yang secara langsung menguntungkan pemerintah. Namun, dari beberapa fungsi pasar modal yang disebutkan, salah satu yang dapat dianggap menguntungkan pemerintah adalah meningkatkan pemasukan pajak. Dengan adanya pasar modal yang aktif, pemerintah dapat mengenakan pajak atas transaksi dan keuntungan yang diperoleh oleh para pelaku pasar modal, seperti investor, perusahaan, dan lembaga keuangan. Hal ini dapat meningkatkan pemasukan pajak bagi pemerintah.",1
18,24. Di bawah ini fungsi pasar modal di Indonesia yaitu  ,"a. sarana untuk mendapatkan tambahan modal 
b. sarana pemusatan pendapatan masyarakat
c. meningkatkan upah buruh
d. mengurangi pemasukan pajak untuk pemerintah
e. memperoleh pengakuan Negara lain tentang keberhasilan pembangunan Indonesia ",Jawaban : A ,"Fungsi pasar modal di Indonesia, sebagaimana diatur dalam Undang-Undang Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, Pasal 1 adalah sebagai berikut:

a. Sarana untuk mendapatkan tambahan modal (Pasal 1 ayat 12 huruf a)
b. Sarana pemusatan pendapatan masyarakat (Pasal 1 ayat 12 huruf a)
e. Memperoleh pengakuan Negara lain tentang keberhasilan pembangunan Indonesia (tidak diatur dalam Undang-Undang tersebut)

Sehingga jawaban yang tepat adalah a. sarana untuk mendapatkan tambahan modal dan b. sarana pemusatan pendapatan masyarakat.",1
19,"25. Berikut adalah keuntungan seseorang yang memiliki saham, kecuali  ","a. mendapat pembagian keuntungan
b. memiliki sebagian kecil perusahaan
c. gaji meningkat
d. memperoleh capital gain 
e. menerima deviden",Jawaban : C ,"Dalam konteks ini, keuntungan seseorang yang memiliki saham adalah sebagai berikut:

a. Mendapat pembagian keuntungan (dividen): Pemegang saham memiliki hak untuk mendapatkan pembagian keuntungan perusahaan dalam bentuk dividen sesuai dengan persentase kepemilikan sahamnya. (POJK Nomor 25/POJK.04/2017 Pasal 1 Ayat 1)

b. Memiliki sebagian kecil perusahaan: Dengan memiliki saham, seseorang memiliki sebagian kecil kepemilikan perusahaan dan berhak atas pengambilan keputusan dalam Rapat Umum Pemegang Saham (RUPS) serta mendapatkan informasi mengenai perusahaan. (POJK Nomor 25/POJK.04/2017 Pasal 1 Ayat 1)

c. Menerima deviden: Pemegang saham berhak menerima deviden sebagai pembagian keuntungan perusahaan. (POJK Nomor 25/POJK.04/2017 Pasal 1 Ayat 1)

d. Memperoleh capital gain: Pemegang saham dapat memperoleh capital gain jika harga saham meningkat dan ia menjual sahamnya dengan harga yang lebih tinggi dari harga pembelian. (POJK Nomor 25/POJK.04/2017 Pasal 1 Ayat 1)

Jadi, jawaban yang benar adalah c. gaji meningkat.",1
20,"26. Pasar modal yang terdapat di Indonesia ada dua, yaitu  ","a. Bursa Efek Indonsia (BEI) dan Bursa Efek Makasar (BEM) 
b. Bursa Efek Indonesia (BEI) dan Bursa Efek Surabaya (BES) 
c. Bursa Efek Makasar (BEM) dan Bursa Efek Surabaya (BES) 
d. Bursa Efek Samarinda (BES) dan Bursa Efek Jakarta (BEJ) 
e. Bursa Efek Semarang (BES) dan Bursa Efek Yogyakarta ",Jawaban : B ,"Pasar modal yang terdapat di Indonesia ada dua, yaitu Bursa Efek Indonesia (BEI) dan Bursa Efek Surabaya (BES).",1
21,"27. Resiko membeli saham suatu perusahaan adalah sebagai berikut, kecuali  ","a. Tidak mendapat deviden
b. Mendapat capital gain 
c. Perusahan bangkrutatu dilikuidasi
d. Saham dihpucatatkan dari bursa efek (delisting) 
e. Capital loss ",Jawaban: B ,"Jawaban: c. Perusahaan bangkrut atau dilikuidasi

Penjelasan: Dalam Pasal 27 Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.04/2017, tidak ada penjelasan mengenai risiko perusahaan bangkrut atau dilikuidasi sebagai konsekuensi dari pembelian kembali saham.",0
22,"28. Di bawah ini yang termasuk contoh effek, kecuali  ","a. obligasi
b. surat pengkuan utang
c. kuitansi
d. tanda bukti uang
e. saham",Jawaban : C ,"Berdasarkan informasi yang diberikan, contoh-contoh efek yang termasuk adalah sebagai berikut:

a. obligasi
b. surat pengakuan utang
c. kuitansi
e. saham

Dengan demikian, pilihan yang tidak termasuk contoh efek adalah d. tanda bukti uang.",0
23,29. Indeks yang menunjukkan harga 45 saham yang sangat sering diperdagangkan atau sangat likuid disebut  ,"a. IHSG 
b.Indeks saham likuid
c.Indeks sektoral
d.Indeks LQ45 
e.IHSG 45 ",Jawaban : D ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
24,30. Indeks yang terdiri dari 39 jenis saham yang dipilih berdasarkan aturan syariah islam adalah :,"a. Indeks LQ45 
b. IHSG 
c. Indeks Sektoral 
d. Indeks Syariah 
e. Indeks Kompas 100 Pembahasan :",Jawaban : D ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
25,"31. Selembar kertas yang menyatakan bahwa pemilik kertas tersebut telah membeli utang perusahaan yang menerbitkannya, disebut","a. saham 
b. obligasi 
c. reksa dana 
d. modal 
e. utang",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
26,34. Pihak yang kegiatan usahanya mengelola efek untuk para nasabah disebut  ,"a. investor
b. debitur
c. broker
d. emiten sekuritas
e. manajer investasi",Jawaban : E ,"Pada konteks yang diberikan, pihak yang kegiatan usahanya mengelola efek untuk para nasabah disebut sebagai ""broker"". Hal ini sesuai dengan definisi yang terdapat dalam Peraturan Otoritas Jasa Keuangan Nomor 20/POJK.04/2016 tentang Perizinan Perusahaan Efek yang Melakukan Kegiatan Usaha sebagai Penjamin Emisi Efek dan Perantara Pedagang Efek.",0
27,35. Undang-undang yang mengatur pasar modal Indonesia adalah  ,"a. UU No. 1 Tahun 1995 
b. UU No. 8 Tahun 1995 
c. UU No. 18 Tahun 1995 
d. UU No. 8 Tahun 2000 
e. UU No, 1 Tahun 2000 ",Jawaban : B ,Undang-undang yang mengatur pasar modal Indonesia adalah UU No. 8 Tahun 1995 tentang Pasar Modal.,1
28,36. Pasar di mana pertama kali suatu perusahaan menawarkan sahamnya kepada public disebut  ,"a. pasar pertama 
b. pasar sekunder
c. pasar tunai
d. pasar perdana
e. pasar negosias",Jawaban : B ,Jawaban yang tepat adalah d. pasar perdana. Pasar di mana pertama kali suatu perusahaan menawarkan sahamnya kepada publik disebut pasar perdana. Hal ini sesuai dengan definisi Penawaran Umum dalam Pasal 1 angka 1 Peraturan Otoritas Jasa Keuangan Nomor 76/POJK.04/2017 tentang Penawaran Umum oleh Pemegang Saham.,0
29,37. Instrumen (jenis investasi) pasar modal pada umumnya berjangka waktu diatas  ,"a. satu bulan
b. tiga bulan
c. enam bulan 
d. Sembilan bulan
e. satu tahun",Jawaban : E ,Instrumen (jenis investasi) pasar modal pada umumnya berjangka waktu di atas satu tahun.,1
30,39. Lembaga atau otoritas tertinggi di pasar modal yang melakukan pengawasan dan pembinaan atas pasar modal adalah: ,"a. Bursa Efek 
b. Kustodian
c. Bapepam
d. BAE 
e. Manajer Investasi ",Jawaban : C ,"Undang-Undang No.8 Tahun 1995 tentang Pasar Modal, specifically Pasal 4, states that the supervision, regulation, and oversight of the capital market are carried out by Bapepam (currently known as Otoritas Jasa Keuangan) with the aim of creating a well-regulated, fair, and efficient capital market and protecting the interests of investors and the public.

Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, specifically Pasal 22, amends Article 5 to include the authority of Otoritas Jasa Keuangan (OJK) in carrying out its tasks, including the supervisory authority to:
- Examine objections submitted by parties subject to sanctions by OJK, market organizers, stock exchanges, clearing and guarantee institutions, or custody and settlement institutions, and make decisions to accept or reject the objections or decide otherwise (Article 5(c)(10)).
- Take necessary actions to prevent losses to the public resulting from violations of regulations in the capital market (Article 5(c)(11)).
- Prohibit certain parties from becoming controllers of parties that have obtained permits, approvals, or registrations from OJK, with the criteria for such prohibition determined by OJK (Article 5(c)(15)).
- Determine the duties, authorities, and responsibilities of Statuter Managers at market organizers, stock exchanges, clearing and guarantee institutions, custody and settlement institutions, securities companies, and/or other parties that have obtained permits from OJK (Article 5(c)(16)).

Therefore, based on the provided information, the highest supervisory and regulatory authority in the capital market is Otoritas Jasa Keuangan (OJK).",1
31,40. Menyebarluaskan informasi-informasi bursa ke masyarakat adalah tugas,"a. Bapepam 
b. KSEI 
c. Emiten 
d. Bursa Efek 
e. Wali Amanat ",Jawaban : D ,"Jawaban:

e. Wali Amanat

Menyebarluaskan informasi-informasi bursa ke masyarakat adalah tugas Wali Amanat.",0
32,"41. Bank yang bertindak sebagai tempat penyimpanan dan penitipan uang, surat-surat berharga, maupun barang-barang berharga lainnya adalah","a. Bank Indonesia 
b. Bank Kustodian 
c. Wali Amanat 
d. Bursa Efek 
e. Manajer Investasi ",Jawaban : B,Bank Kustodian (b),1
33,"44. Sejak tahun 1995, BEJ telah menggunakan sistem perdagangan otomatis yang di kenal dengan istilah","a. remote trading 
b. Scripless trading 
c. Jakarta automated trading system (JATS)
d. Automatic trading 
e. Halting system ",Jawaban : C ,"Sejak tahun 1995, Bursa Efek Jakarta (BEJ) telah menggunakan sistem perdagangan otomatis yang dikenal dengan istilah Jakarta Automated Trading System (JATS). Jawaban yang tepat adalah c. Jakarta automated trading system (JATS).",1
34,45. Istilah yang menunjukan satuan perdagangan saham adalah,"a.Fraksi harga
b.Unit penyertaan
c.Unit
d.Lot 
e.Nominal ", Jawaban : D ,"Berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham oleh Perusahaan Terbuka, satuan perdagangan saham di Bursa Efek dijelaskan dalam Pasal 15 Ayat (1). Saham yang tidak memenuhi ketentuan satuan perdagangan di Bursa Efek merupakan sejumlah saham yang jumlahnya tidak memenuhi 1 (satu) satuan perdagangan saham di Bursa Efek dan lazim disebut saham odd lot, termasuk saham dalam satuan pecahan.

Selain itu, dalam Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.04/2017 tentang Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka, dalam Pasal 20 disebutkan bahwa harga penjualan saham wajib mengikuti ketentuan atas saham Perusahaan Terbuka yang tercatat di Bursa Efek. Namun, jika saham tersebut tidak diperdagangkan di Bursa Efek selama 90 (sembilan puluh) hari atau lebih sebelum tanggal penjualan saham oleh Perusahaan Terbuka atau dihentikan sementara perdagangannya oleh Bursa Efek, harga penjualan saham tidak boleh lebih rendah dari harga pasar wajar yang ditetapkan oleh Penilai atau harga rata-rata dari harga penutupan perdagangan harian di Bursa Efek dalam jangka waktu 12 (dua belas) bulan terakhir yang dihitung mundur dari hari perdagangan terakhir atau hari dihentikan sementara perdagangannya, mana yang lebih tinggi.

Dengan demikian, istilah yang menunjukkan satuan perdagangan saham adalah ""d. Lot"".",1
35,46. Satu lot saham berjumlah  ,"a. 100 
b. 200 
c. 500 
d. 1000 
e. 5000 ",Jawaban : C ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
36,47. Kelipatan harga saham disebut ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
37,48. Perdagangan saham yang kurang dari 1 lot disebut  ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : C ,"Jawaban: c. Add lot

Penjelasan:
Berdasarkan Pasal 15 Ayat (1) dalam Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham oleh Perusahaan Terbuka, saham yang tidak memenuhi ketentuan satuan perdagangan di Bursa Efek disebut saham odd lot. Saham odd lot adalah sejumlah saham yang jumlahnya tidak memenuhi 1 (satu) satuan perdagangan saham di Bursa Efek, termasuk saham dalam satuan pecahan.",1
38,49. Saham perusahaan dapat dicatatkan di beberapa bursa efek. Istilah yang menjelaskan suatu saham tercatat di lebih dari satu bursa di sebut?,"a. Saveral listing 
b. Secondary offering 
c. Dual listing 
d. Many listing
e. Triple listing ",Jawaban : D ,Jawaban: c. Dual listing,0
39,"50. Seorang investor membeli saham pada harga Rp.3400,-/saham.kerugian investor tersebut dikenal dengan istilah.","a. Capital gain 
b. Capital loss 
c. Depresiasi
d. Dilusi
e. Negative return ",Jawaban : B ,"Dalam konteks ini, tidak ada informasi yang memberikan definisi atau istilah yang tepat untuk kerugian investor yang membeli saham pada harga Rp.3400,-/saham. Oleh karena itu, saya tidak dapat memberikan jawaban yang akurat. Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
40,51. Sesi pertama perdangan saham di BEJ dimulai pukul,"a. 09.00 wib
b. 09.30 wib
c. 10.00 wib
d. 09.15 wib
e. 09.45 wib",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
41,52. Sesi kedua perdangan saham di BEJ ditutup pada pukul,"a. 15.00 wib
b. 15.30 wib
c. 17.00 wib
d. 16.00 wib
e. 16.30 wib ",Jawaban : D,Sesi kedua perdagangan saham di Bursa Efek Jakarta (BEJ) ditutup pada pukul 16.00 WIB.,1
42,54. Pihak yang didasarkan kontrak dengan Emiten melaksanakan pencatatan pemilikan Efek dan pembagian hak yang berkaitan dengan Efek adalah,"a. BAE 
b.wali amanat 
c. custodian
d.manajer investasi 
e.emiten ", Jawaban : A ,"Jawaban:

Undang-Undang No.8 Tahun 1995 dalam BAB VI tentang LEMBAGA PENUNJANG PASAR MODAL, Pasal 49 menyatakan bahwa pendaftaran pemilikan Efek dalam buku daftar pemegang Efek Emiten dan pembagian hak yang berkaitan dengan Efek dapat dilakukan oleh Biro Administrasi Efek berdasarkan kontrak yang dibuat oleh Emiten dengan Biro Administrasi Efek dimaksud. 

Peraturan Otoritas Jasa Keuangan Nomor 20/POJK.04/2016 tentang Perizinan Perusahaan Efek yang Melakukan Kegiatan Usaha sebagai Penjamin Emisi Efek dan Perantara Pedagang Efek, Bagian Keempat, Pasal 34 dan Pasal 35 mengatur tentang kepemilikan silang akibat pelaksanaan kegiatan usaha. 

Pasal 34 menyatakan bahwa jika Perusahaan Efek yang melakukan kegiatan usaha sebagai Penjamin Emisi Efek juga merupakan pemegang saham Bursa Efek dan melakukan penjaminan emisi Efek atas Penawaran Umum Efek bersifat ekuitas dari Emiten yang juga merupakan pemegang saham Bursa Efek yang sama, maka kepemilikan saham Emiten tersebut baik langsung maupun tidak langsung oleh Perusahaan Efek yang melakukan penjaminan tersebut harus memenuhi ketentuan yang diatur dalam Pasal 28 huruf a.

Pasal 35 menyatakan bahwa jika Perusahaan Efek yang melakukan kegiatan usaha sebagai Penjamin Emisi Efek juga merupakan pemegang saham Bursa Efek dan bertindak sebagai pembeli siaga atas Efek bersifat ekuitas dari Emiten yang juga merupakan pemegang saham Bursa Efek yang sama, maka kepemilikan saham Emiten tersebut baik langsung maupun tidak langsung oleh Perusahaan Efek yang bertindak sebagai pembeli siaga tersebut harus memenuhi ketentuan yang diatur dalam Pasal 28 huruf a.

Dengan demikian, jawabannya adalah b. wali amanat.",1
,,,,,0.441860465
