,answer,ans_grth
14,"Kewajiban Direksi berdasarkan Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2014 tentang Direksi dan Dewan Komisaris Emiten atau Perusahaan Publik adalah sebagai berikut:

1. Bertanggung jawab atas pengurusan Emiten atau Perusahaan Publik untuk kepentingan Emiten atau Perusahaan Publik sesuai dengan maksud dan tujuan yang ditetapkan dalam anggaran dasar.
2. Menyelenggarakan Rapat Umum Pemegang Saham (RUPS) tahunan dan RUPS lainnya sesuai dengan peraturan perundang-undangan dan anggaran dasar.
3. Melaksanakan tugas dan tanggung jawab dengan itikad baik, penuh tanggung jawab, dan kehati-hatian.
4. Dapat membentuk komite dalam rangka mendukung efektivitas pelaksanaan tugas dan tanggung jawab.
5. Melakukan evaluasi terhadap kinerja komite setiap akhir tahun buku.
6. Mengadakan rapat Direksi secara berkala paling kurang 1 (satu) kali dalam setiap bulan.
7. Mengadakan rapat Direksi bersama Dewan Komisaris secara berkala paling kurang 1 (satu) kali dalam 4 (empat) bulan.
8. Ungkapkan kehadiran anggota Direksi dalam rapat dalam laporan tahunan Emiten atau Perusahaan Publik.

Demikianlah kewajiban-kewajiban Direksi berdasarkan regulasi yang disebutkan.","
(1) Direksi wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 15 (lima belas) hari terhitung sejak tanggal permintaan penyelenggaraan RUPS sebagaimana dimaksud dalam Pasal 3 ayat (1) diterima Direksi. (2) Direksi wajib menyampaikan pemberitahuan mata acara rapat dan surat tercatat sebagaimana dimaksud dalam Pasal 3 ayat (2) dari pemegang saham atau Dewan Komisaris kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman sebagaimana dimaksud pada ayat (1)."
15,"Menurut Pasal 4 ayat (1) Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2014 tentang Direksi dan Dewan Komisaris Emiten atau Perusahaan Publik, yang wajib diumumkan oleh Direksi adalah laporan keuangan tengah tahunan dan laporan keuangan tahunan kepada Otoritas Jasa Keuangan.","
a. terdapat permintaan penyelenggaraan RUPS dari pemegang saham yang tidak diselenggarakan; dan b. alasan tidak diselenggarakannya RUPS."
16,Pemegang saham yang telah memperoleh penetapan pengadilan untuk menyelenggarakan RUPS harus menyelenggarakan RUPS sesuai dengan Pasal 7 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020.,"
Pemegang saham yang telah memperoleh penetapan pengadilan untuk menyelenggarakan RUPS sebagaimana dimaksud dalam Pasal 6 ayat (2) wajib menyelenggarakan RUPS."
17,"Pasal 11 mengatur tentang Tempat dan Waktu Penyelenggaraan RUPS dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020. Berikut adalah isi Pasal 11:

(1) RUPS wajib diselenggarakan di wilayah Negara Republik Indonesia.

(2) Perusahaan Terbuka wajib menentukan tempat dan waktu penyelenggaraan RUPS.

(3) Tempat penyelenggaraan RUPS sebagaimana dimaksud pada ayat (2) wajib dilakukan di:
a. tempat kedudukan Perusahaan Terbuka;
b. tempat Perusahaan Terbuka melakukan kegiatan usaha utamanya;
c. ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama Perusahaan Terbuka; atau
d. provinsi tempat kedudukan bursa efek yang mencatatkan saham Perusahaan Terbuka.","
Tempat dan Waktu Penyelenggaraan RUPS Pasal 11 (1) RUPS wajib diselenggarakan di wilayah Negara Republik Indonesia. (2) Perusahaan Terbuka wajib menentukan tempat dan waktu penyelenggaraan RUPS. (3) Tempat penyelenggaraan RUPS sebagaimana dimaksud pada ayat (2) wajib dilakukan di: a. tempat kedudukan Perusahaan Terbuka; b. tempat Perusahaan Terbuka melakukan kegiatan usaha utamanya; c. ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama Perusahaan Terbuka; atau d. provinsi tempat kedudukan bursa efek yang mencatatkan saham Perusahaan Terbuka."
18,"Dalam memenuhi ketentuan penyelenggaraan RUPS, kewajiban Perusahaan Terbuka adalah sebagai berikut berdasarkan PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA:

1. Menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan.
2. Melakukan pengumuman RUPS kepada pemegang saham.
3. Melakukan pemanggilan RUPS kepada pemegang saham.

Jadi, kewajiban Perusahaan Terbuka dalam memenuhi ketentuan penyelenggaraan RUPS adalah menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, melakukan pengumuman RUPS kepada pemegang saham, dan melakukan pemanggilan RUPS kepada pemegang saham.","
a. menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan; b. melakukan pengumuman RUPS kepada pemegang saham; dan c. melakukan pemanggilan RUPS kepada pemegang saham."
19,"Dalam Pasal 14 ayat (1) dari Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2020, pengumuman RUPS wajib memuat informasi bahwa Perusahaan Terbuka menyelenggarakan RUPS karena adanya permintaan dari pemegang saham atau Dewan Komisaris.","
a. ketentuan pemegang saham yang berhak hadir dalam RUPS; b. ketentuan pemegang saham yang berhak mengusulkan mata acara rapat; c. tanggal penyelenggaraan RUPS; dan d. tanggal pemanggilan RUPS."
20,"Transaksi material adalah transaksi yang akan dilaksanakan secara rutin, berulang, dan/atau berkelanjutan dalam rangka menjalankan kegiatan usaha baru yang akan menghasilkan pendapatan usaha dan telah mendapat persetujuan RUPS terkait perubahan kegiatan usaha. Hal ini diatur dalam Pasal 13 ayat (1) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 17/POJK.04/2020 tentang Transaksi Material dan Perubahan Kegiatan Usaha.","
Transaksi Material adalah setiap transaksi yang dilakukan oleh perusahaan terbuka atau perusahaan terkendali yang memenuhi batasan nilai sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan ini."
21,"Regulasi yang mengatur mengenai Transaksi Material dan Perubahan Kegiatan Usaha adalah Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 17/POJK.04/2020. 

Berdasarkan Pasal 14 dari regulasi tersebut, suatu transaksi dikategorikan sebagai Transaksi Material apabila transaksi tersebut mengandung transaksi afiliasi atau mengandung benturan kepentingan.","
Suatu transaksi dikategorikan sebagai Transaksi Material apabila nilai transaksi sama dengan 20% (dua puluh persen) atau lebih dari ekuitas Perusahaan Terbuka."
22,"Hal-hal yang wajib dilakukan oleh perusahaan terbuka yang akan melakukan transaksi material sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 17/POJK.04/2020 adalah sebagai berikut:

1. Menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan.
2. Memperoleh persetujuan Rapat Umum Pemegang Saham (RUPS) jika nilai transaksi material lebih dari 50% (lima puluh persen) untuk transaksi material tertentu, atau lebih dari 25% (dua puluh lima persen) untuk transaksi material lainnya, atau jika laporan penilai menyatakan bahwa transaksi material yang akan dilakukan tidak wajar.
3. Melaporkan hasil pelaksanaan transaksi material pada laporan tahunan.

Demikianlah hal-hal yang wajib dilakukan oleh perusahaan terbuka sebelum melakukan transaksi material sesuai dengan POJK Nomor 17/POJK.04/2020.","
a. menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Material dan/atau kewajaran transaksi dimaksud; b. mengumumkan keterbukaan informasi atas setiap Transaksi Material kepada masyarakat; c. menyampaikan keterbukaan informasi sebagaimana dimaksud dalam huruf b dan dokumen pendukungnya kepada Otoritas Jasa Keuangan; d. terlebih dahulu memperoleh persetujuan RUPS dalam hal: 1. Transaksi Material sebagaimana dimaksud dalam Pasal 3 ayat (1) dan ayat (2) lebih dari 50% (lima puluh persen); 2. Transaksi Material sebagaimana dimaksud dalam Pasal 3 ayat (3) lebih dari 25% (dua puluh lima persen); atau 3. laporan Penilai menyatakan bahwa Transaksi Material yang akan dilakukan tidak wajar; dan - 6 - e. melaporkan hasil pelaksanaan Transaksi Material pada laporan tahunan."
23,"Dalam Peraturan Otoritas Jasa Keuangan Nomor 26/POJK.04/2017 tentang Keterbukaan Informasi Bagi Emiten atau Perusahaan Publik yang Dimohonkan Pernyataan Pailit, hal yang wajib dilakukan berdasarkan Pasal 2 ayat 2 adalah Emiten atau Perusahaan Publik yang gagal atau tidak mampu menghindari kegagalan untuk membayar kewajibannya terhadap pemberi pinjaman yang tidak terafiliasi wajib menyampaikan laporan mengenai hal tersebut kepada Otoritas Jasa Keuangan dan Bursa Efek dimana Efek Emiten atau Perusahaan Publik tercatat, sesegera mungkin paling lambat 2 (dua) hari kerja sejak Emiten atau Perusahaan Publik mengalami kegagalan atau mengetahui ketidakmampuan menghindari kegagalan tersebut.","
a. penjelasan, pertimbangan, dan alasan dilakukannya perubahan Kegiatan Usaha; b. informasi keuangan segmen operasi; c. analisis manajemen atas kerugian segmen operasi; d. pernyataan manajemen bahwa pengurangan tersebut tidak mengganggu kelangsungan usaha Perusahaan Terbuka; dan e. tanggal keputusan perubahan Kegiatan Usaha."
24,Transaksi material dilakukan oleh Perusahaan Terbuka.,"
a. Perusahaan Terkendali yang bukan merupakan Perusahaan Terbuka dan laporan keuangannya dikonsolidasikan dengan Perusahaan Terbuka, Perusahaan Terbuka wajib melakukan prosedur sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan ini; atau b. Perusahaan Terkendali yang merupakan Perusahaan Terbuka dan laporan keuangannya dikonsolidasikan dengan Perusahaan Terbuka, hanya Perusahaan Terkendali dimaksud yang wajib melakukan prosedur sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan ini."
25,"Dalam konteks yang disediakan, definisi ""afiliasi"" mengacu pada hubungan antara entitas yang terlibat dalam transaksi afiliasi. Afiliasi bisa merujuk pada berbagai jenis hubungan, termasuk hubungan keluarga karena perkawinan dan keturunan sampai derajat kedua, hubungan antara pihak dengan pegawai, direktur, atau komisaris dari pihak tersebut, hubungan antara dua perusahaan di mana terdapat satu atau lebih anggota direksi atau dewan komisaris yang sama, hubungan antara perusahaan dan pihak, baik langsung maupun tidak langsung, yang mengendalikan atau dikendalikan oleh perusahaan tersebut, atau hubungan antara dua perusahaan yang dikendalikan, baik langsung maupun tidak langsung, oleh pihak yang sama. Definisi ini diatur dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 42/POJK.04/2020 tentang Transaksi Afiliasi dan Transaksi Benturan Kepentingan, pada Pasal 1 huruf a-f.","
Afiliasi adalah: a. hubungan keluarga karena perkawinan dan keturunan sampai derajat kedua, baik secara horizontal maupun vertikal; b. hubungan antara pihak dengan pegawai, direktur, atau komisaris dari pihak tersebut; c. hubungan antara 2 (dua) perusahaan di mana terdapat 1 (satu) atau lebih anggota direksi atau dewan komisaris yang sama; d. hubungan antara perusahaan dan pihak, baik langsung maupun tidak langsung, mengendalikan atau dikendalikan oleh perusahaan tersebut; e. hubungan antara 2 (dua) perusahaan yang dikendalikan, baik langsung maupun tidak langsung, oleh pihak yang sama; atau f. hubungan antara perusahaan dan pemegang saham utama."
26,"Perusahaan Terbuka yang melakukan Transaksi Afiliasi wajib melakukan hal-hal sebagai berikut berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 42/POJK.04/2020:

1. Menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Afiliasi dan/atau kewajaran transaksi tersebut.
2. Mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat.
3. Menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan.
4. Memperoleh persetujuan Pemegang Saham Independen dalam Rapat Umum Pemegang Saham (RUPS) jika nilai Transaksi Afiliasi memenuhi batasan nilai transaksi material yang wajib memperoleh persetujuan RUPS, jika Transaksi Afiliasi dapat mengakibatkan terganggunya kelangsungan usaha Perusahaan Terbuka, dan jika melakukan Transaksi Afiliasi yang memerlukan persetujuan Pemegang Saham Independen berdasarkan pertimbangan Otoritas Jasa Keuangan.

Selain itu, Perusahaan Terbuka juga wajib melaporkan Transaksi Afiliasi kepada Otoritas Jasa Keuangan paling lambat pada akhir hari kerja ke-2 setelah tanggal Transaksi Afiliasi.","
Perusahaan Terbuka yang melakukan Transaksi Afiliasi wajib: a. menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Afiliasi dan/atau kewajaran transaksi dimaksud; b. mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat; - 6 - c. menyampaikan keterbukaan informasi sebagaimana dimaksud dalam huruf b dan dokumen pendukungnya kepada Otoritas Jasa Keuangan; dan d. terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS, dalam hal: 1. nilai Transaksi Afiliasi memenuhi batasan nilai transaksi material yang wajib memperoleh persetujuan RUPS; 2. Transaksi Afiliasi yang dapat mengakibatkan terganggunya kelangsungan usaha Perusahaan Terbuka; dan/atau 3. melakukan Transaksi Afiliasi yang berdasarkan pertimbangan Otoritas Jasa Keuangan memerlukan persetujuan Pemegang Saham Independen."
27,Setiap pihak yang melanggar ketentuan dalam PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 16/POJK.04/2020 TENTANG PELAKSANAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA SECARA ELEKTRONIK dikenai sanksi administratif sesuai dengan Pasal 13.,"
Setiap pihak yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 2, Pasal 3, Pasal 4 ayat (1), ayat (2), ayat (3), dan ayat (4), Pasal 6 ayat (2), Pasal 7 ayat (3), Pasal 8 ayat (3), Pasal 9, Pasal 10, Pasal 11 ayat (1), ayat (2), ayat (3), dan ayat (4), Pasal 12 ayat (2), Pasal 13 ayat (3), Pasal 15, Pasal 16, Pasal 17, Pasal 18, Pasal 19, Pasal 21, Pasal 22, Pasal 24, Pasal 25, dan Pasal 26 dikenai sanksi administratif."
28,Dokumen yang dimaksud dalam Pasal 28 Ayat (1) Huruf c dari Peraturan Otoritas Jasa Keuangan Nomor 12/POJK.01/2017 adalah dokumen identifikasi dan verifikasi identitas yang diwajibkan sesuai dengan ketentuan peraturan perundang-undangan di bidang pencegahan tindak pidana pencucian uang dan tindak pidana pendanaan terorisme.,"
Dokumen sebagaimana dimaksud pada ayat (1) huruf c harus meliputi: - 7 - a. laporan Penilai; dan b. dokumen pendukung lainnya."
