,q,ch,a,answer_mcq,score,score_by_ai,
10,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris,"Menurut Pasal 3 ayat (1) yang disebutkan dalam konteks, yang dapat mengajukan permintaan penyelenggaraan RUPS adalah:

A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara",0,0,
11,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari,"Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS paling lambat 15 (lima belas) hari, sesuai dengan Pasal 4 ayat (1). Oleh karena itu, jawabannya adalah C) Paling lambat 15 hari.",1,1,
12,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris,"Berdasarkan Pasal 5 ayat (2), apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka adalah:

B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris.",1,1,
13,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan,"Direksi harus melakukan pengumuman bahwa RUPS akan diselenggarakan oleh Dewan Komisaris, menurut Pasal 9 ayat (1). Oleh karena itu, jawabannya adalah:

B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris",0,0,
14,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini,A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini. (Pasal 10 ayat (1)),1,0,
15,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS,"Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman RUPS, menurut Pasal 13 ayat (1). Oleh karena itu, jawabannya adalah A) Paling lambat 5 hari sebelum pengumuman RUPS.",1,1,
16,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
","Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir",1,1,
17,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari,"Berdasarkan Pasal 16 ayat (1) yang terdapat dalam konteks, pemegang saham dapat mengusulkan mata acara rapat paling lambat 7 (tujuh) hari sebelum pemanggilan RUPS. Oleh karena itu, jawabannya adalah C) 7 (tujuh) hari.",1,1,
18,Siapa yang dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (2)?,"A) Hanya Direksi Perusahaan Terbuka
B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki
C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
D) Anggota Dewan Komisaris",C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara,"Menurut Pasal 16 ayat (2), yang dapat mengusulkan mata acara rapat adalah C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara.",1,0,
19,Apa saja informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2)?,"A) Hanya tanggal dan waktu RUPS
B) Tanggal, waktu, dan tempat RUPS
C) Tanggal, waktu, tempat, dan ketentuan pemegang saham yang berhak hadir
D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","Informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2) adalah:

D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS.",1,1,
20,Kapan bahan mata acara rapat wajib tersedia bagi pemegang saham menurut Pasal 18 ayat (2)?,"A) Setelah penyelenggaraan RUPS
B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
C) 7 (tujuh) hari setelah pemanggilan RUPS
D) Sebelum dilakukannya pemanggilan RUPS",B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS,"Berdasarkan Pasal 18 ayat (2), bahan mata acara rapat wajib tersedia bagi pemegang saham sejak pengumuman RUPS dan disampaikan kepada Otoritas Jasa Keuangan dalam waktu bersamaan dengan pengumuman RUPS dalam rangka persetujuan Transaksi Material. Oleh karena itu, jawabannya adalah:

B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS",1,1,
21,Kapan Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1)?,"A) Setiap kali terjadi perubahan informasi
B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS
C) Jika terdapat perubahan informasi, tetapi bukan karena kesalahan Perusahaan Terbuka atau perintah Otoritas Jasa Keuangan
D) Hanya jika terdapat penambahan mata acara RUPS",A) Setiap kali terjadi perubahan informasi,"Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1) ketika terdapat perubahan informasi. Oleh karena itu, jawabannya adalah A) Setiap kali terjadi perubahan informasi. Pasal ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 32/POJK.04/2014.",1,0,
22,Kapan pemanggilan RUPS kedua wajib dilakukan menurut Pasal 20?,"A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan
B) Paling cepat 7 (tujuh) hari setelah RUPS pertama diselenggarakan
C) Paling lambat 10 (sepuluh) hari sejak RUPS pertama diselenggarakan
D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan",A) Paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan,"Pemanggilan RUPS kedua wajib dilakukan paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan. Oleh karena itu, jawabannya adalah:

A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan",1,0,
23,Bagaimana pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25?,"A) Tidak berhak memperoleh informasi
B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka
C) Berhak memperoleh informasi tanpa batasan
D) Hanya berhak jika diizinkan oleh Dewan Komisaris

",C) Berhak memperoleh informasi tanpa batasan,"Pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25 adalah:

B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka

Ini sesuai dengan ketentuan dalam JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA.",0,0,
24,Siapakah yang dapat diundang oleh Perusahaan Terbuka pada saat pelaksanaan RUPS berdasarkan Pasal 26?,"A) Pemegang saham saja
B) Pihak lain yang terkait dengan mata acara RUPS
C) Dewan Komisaris saja
D) Anggota Direksi Perusahaan Terbuka saja",B) Pihak lain yang terkait dengan mata acara RUPS,"Berdasarkan Pasal 26 yang terdapat dalam peraturan perundang-undangan yang berlaku, pada saat pelaksanaan RUPS, Perusahaan Terbuka dapat mengundang pihak lain yang terkait dengan mata acara RUPS. Oleh karena itu, jawabannya adalah:

B) Pihak lain yang terkait dengan mata acara RUPS",1,1,
25,Apa yang harus disediakan Perusahaan Terbuka bagi pemegang saham menurut Pasal 27?,"A) Alternatif pemberian kuasa secara tertulis
B) Alternatif pemberian kuasa secara elektronik
C) Alternatif kehadiran langsung pemegang saham
D) Alternatif pemberian kuasa hanya melalui surat resmi",B) Alternatif pemberian kuasa secara elektronik,Perusahaan Terbuka harus menyediakan alternatif pemberian kuasa secara tertulis dan alternatif pemberian kuasa secara elektronik bagi pemegang saham menurut Pasal 27.,1,0,
26,Kapan pemberian kuasa secara elektronik harus dilakukan menurut Pasal 28?,"A) Paling lambat 7 (tujuh) hari sebelum penyelenggaraan RUPS
B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS
C) Pada hari penyelenggaraan RUPS
D) Setelah penyelenggaraan RUPS",B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS,"Pemberian kuasa secara elektronik harus dilakukan paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS. Hal ini sesuai dengan Pasal 28 ayat (3) yang menyatakan bahwa ""Pemberian kuasa sebagaimana dimaksud pada ayat (2) harus dilakukan paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS.""",1,0,
27,Siapakah yang dapat menjadi Penerima Kuasa secara elektronik menurut Pasal 30?,"A) Anggota Direksi Perusahaan Terbuka
B) Pihak yang tidak terdaftar di dalam sistem e-RUPS atau sistem yang disediakan oleh Perusahaan Terbuka
C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham
D) Karyawan Perusahaan Terbuka",C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham,"Menurut Pasal 30 ayat (1) dari regulasi yang relevan, yang dapat menjadi Penerima Kuasa secara elektronik meliputi:
A) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham.",0,0,
28,Apa saja kewajiban yang harus dipenuhi oleh Penyedia e-RUPS menurut Pasal 35?,"A) Hanya memiliki mekanisme operasional standar penyelenggaraan e-RUPS
B) Menyediakan hak akses kepada Pengguna e-RUPS dan informasi perubahan sistem
C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS
D) Bertanggung jawab atas kerugian akibat kegagalan sistem teknologi informasi",C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS,"Kewajiban yang harus dipenuhi oleh Penyedia e-RUPS menurut Pasal 35 adalah:

B) Menyediakan hak akses kepada Pengguna e-RUPS untuk dapat mengakses e-RUPS; memiliki dan menetapkan mekanisme atau prosedur operasional standar penyelenggaraan e-RUPS; memastikan terselenggaranya kegiatan dan keberlangsungan kegiatan e-RUPS; memastikan keamanan dan keandalan e-RUPS; menginformasikan kepada Pengguna e-RUPS dalam hal terdapat perubahan atau pengembangan sistem termasuk penambahan layanan dan fitur e-RUPS; menyediakan rekam jejak audit terhadap seluruh kegiatan pemrosesan data di e-RUPS untuk keperluan pengawasan, penegakan hukum, penyelesaian sengketa, verifikasi, dan pengujian.",0,0,
29,Kapan ketentuan mengenai prosedur dan tata cara penggunaan e-RUPS berlaku efektif menurut Pasal 36?,"A) Setelah disetujui oleh Perusahaan Terbuka
B) Setelah disetujui oleh Pengguna e-RUPS
C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan
D) Setelah disahkan oleh Rapat Umum Pemegang Saham",C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan,"Ketentuan mengenai prosedur dan tata cara penggunaan e-RUPS berlaku efektif setelah memperoleh persetujuan Otoritas Jasa Keuangan. Oleh karena itu, jawabannya adalah C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan. Hal ini sesuai dengan Pasal 36 ayat (2) dalam Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka.",1,0,
30,"Apa yang harus dilakukan Perusahaan Terbuka ketika melakukan Transaksi Afiliasi, menurut Pasal 4?","A) Hanya menggunakan Penilai untuk menentukan nilai wajar Transaksi Afiliasi.
B) Mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat.
C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.
D) Terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu.",C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.,"Perusahaan Terbuka ketika melakukan Transaksi Afiliasi, menurut Pasal 4, harus melakukan hal-hal berikut:
A) menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Afiliasi dan/atau kewajaran transaksi dimaksud;
B) mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat;
C) menyampaikan keterbukaan informasi sebagaimana dimaksud dalam huruf b dan dokumen pendukungnya kepada Otoritas Jasa Keuangan; dan
D) terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS, dalam hal nilai Transaksi Afiliasi memenuhi batasan nilai transaksi material yang wajib memperoleh persetujuan Pemegang Saham Independen.",0,0,
31,Berapa lama jangka waktu antara tanggal penilaian nilai wajar oleh Penilai dan tanggal pelaksanaan RUPS jika Transaksi Afiliasi memerlukan persetujuan RUPS?,"A) Paling lambat 3 bulan.
B) Paling lama 6 bulan.
C) Paling singkat 1 bulan.
D) Tidak ada ketentuan waktu yang ditetapkan.",B) Paling lama 6 bulan.,Jangka waktu antara tanggal penilaian nilai wajar oleh Penilai dan tanggal pelaksanaan RUPS jika Transaksi Afiliasi memerlukan persetujuan RUPS adalah paling lama 6 bulan. Hal ini diatur dalam Pasal 7 ayat (2) dari Peraturan Otoritas Jasa Keuangan Nomor 31/POJK.04/2015 tentang Pencatatan Emiten atau Perusahaan Publik. Sehingga jawabannya adalah B) Paling lama 6 bulan.,1,1,
32,Kapan Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 4 ayat (1) menurut Pasal 8?,"A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan.
B) Jika Transaksi Afiliasi merupakan kegiatan usaha yang dijalankan hanya untuk sekali transaksi.
C) Jika Otoritas Jasa Keuangan menetapkan bahwa Perusahaan Terbuka tidak wajib melakukannya.
D) Ketika Transaksi Afiliasi melibatkan pihak yang bertransaksi di luar lembaga jasa keuangan.","A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan","Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 4 ayat (1) menurut Pasal 8 jika melakukan Transaksi Afiliasi yang merupakan kegiatan usaha yang dijalankan dalam rangka menghasilkan pendapatan usaha dan dijalankan secara rutin, berulang, dan/atau berkelanjutan. Oleh karena itu, jawabannya adalah A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan.",1,1,
33,Apa yang diwajibkan oleh Pasal 9 terkait dengan Transaksi Afiliasi menurut peraturan ini?,"A) Melaporkan Transaksi Afiliasi kepada Otoritas Jasa Keuangan.
B) Melakukan prosedur sebagaimana dimaksud dalam Pasal 3 setiap kali melakukan Transaksi Afiliasi.
C) Mengumumkan Transaksi Afiliasi kepada masyarakat.
D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.",D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.,"Pasal 9 dari peraturan yang dimaksud mengharuskan Perusahaan Terbuka untuk mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu. Oleh karena itu, jawabannya adalah:

D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.",1,1,
34,Apa yang diwajibkan oleh Pasal 14 terkait dengan Transaksi Benturan Kepentingan menurut peraturan ini?,"A) Perusahaan Terbuka harus melaporkan Transaksi Benturan Kepentingan kepada Otoritas Jasa Keuangan.
B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.
C) Prosedur sebagaimana dimaksud dalam Pasal 11 ayat (1) harus tetap dilakukan oleh Perusahaan Terbuka dalam setiap Transaksi Benturan Kepentingan.
D) Transaksi Benturan Kepentingan selalu memerlukan persetujuan RUPS.",B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.,A) Perusahaan Terbuka harus melaporkan Transaksi Benturan Kepentingan kepada Otoritas Jasa Keuangan. (Pasal 14 ayat 3),0,0,
35,Apa yang harus dilakukan oleh Perusahaan Terbuka jika Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang telah disetujui dalam RUPS tidak dilaksanakan dalam jangka waktu 12 bulan sejak tanggal persetujuan RUPS?,"A) Hanya mengungkapkan dalam laporan tahunan.
B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.
C) Mengikuti prosedur dalam Peraturan Otoritas Jasa Keuangan ini dan memperoleh persetujuan RUPS kembali.
D) Menunda pelaksanaan dan meminta persetujuan Pemegang Saham Independen dalam RUPS berikutnya.",A) Hanya mengungkapkan dalam laporan tahunan.,"Perusahaan Terbuka harus melakukan hal-hal berikut jika Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang telah disetujui dalam RUPS tidak dilaksanakan dalam jangka waktu 12 bulan sejak tanggal persetujuan RUPS:

A) Mengungkapkan dalam laporan tahunan; dan
B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.

Jadi, jawabannya adalah A) Hanya mengungkapkan dalam laporan tahunan dan B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.",1,0,
36,Kapan Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen?,"A) Setelah 6 bulan sejak pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
B) Setiap saat tanpa batasan waktu.
C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
D) Setelah mendapatkan persetujuan dari Otoritas Jasa Keuangan.",C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.,"Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut. Hal ini sesuai dengan Pasal 18 ayat (1) dalam Peraturan Otoritas Jasa Keuangan. Oleh karena itu, jawabannya adalah:

C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.",1,1,
