,q,ch,a,answer_mcq,score
10,15. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek 
b.Jangka menengah
c. Jangka Panjang
d.jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
11,16. Salah satu peran pasar modal adalah ,"a. Membiayai pembangunan
b. Sebagai indikator perkembangan ekonomi suatu negara
c. Menutupi defisit APBN
d. Salah satu sumber penerimaan pemerintah
e. Harga saham stabil",Jawaban : A ,Salah satu peran pasar modal adalah sebagai indikator perkembangan ekonomi suatu negara.,0
12,17. Peranan Bank dalam perdagangan efek adalah sebagai ... ,"a. Perantara perdagangan efek
b. Penjual efek secara langsung di bursa
c. Penjamin emisi
d. Pembeli efek
e. Penyandang dana",Jawaban : E ,"Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2019 tentang Transaksi Efek tidak menjelaskan secara spesifik peran Bank dalam perdagangan efek. Oleh karena itu, tidak ada pilihan jawaban yang tepat dalam konteks ini.",0
13,"18. Tempat bertemunya permintaan dan penawaran modal untuk jangka waktu yang panjang adalah, kecuali  ","a. Pasar modal 
b. Bursa efek
c. Pasar dana 
d. capital market
e. stock exchange",Jawaban : C ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
14,19. Berikut yang tidak termasuk perbedaan antara pasar perdana dan pasar sekunder adalah  ,"a. pada pasar perdana harga tidak berubah, sedangkan pada pasar sekunder harga ditentukan oleh mekanisme pasar
b. transaksi perdagangan di pasar sekunder tidak dikenakan biaya komisi, sedangkanpasar perdana terdapat biaya komisi
c. pada pasar perdana hanya terjadi pembelian saham sedangkan di pasar sekunder dapat terjadi jual beli saham
d. Dari sudut pandang jangka waktu, pasar perdana memiliki batas waktu, sedangkan pasar sekunder tidak
e. Di pasar sekunder semua transaksi harus melalui pialang sedangkan pada pasar perdana tidak demikian",Jawaban : B ,"Jawaban yang benar adalah:

e. Di pasar sekunder semua transaksi harus melalui pialang sedangkan pada pasar perdana tidak demikian.

Hal ini sesuai dengan Pasal 6 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2019 tentang Transaksi Efek, yang menyatakan bahwa transaksi efek di pasar sekunder dapat dilakukan melalui transaksi bursa atau transaksi di luar bursa, yang mana transaksi di luar bursa harus melalui penyelenggara perdagangan di luar bursa yang telah mendapatkan izin dari Otoritas Jasa Keuangan. Dalam hal ini, pialang berperan sebagai perantara dalam transaksi efek di pasar sekunder.",0
15,"20. Berikut istilah yang berarti perusahaan menerbitkan saham untuk pertama kali kepada masyarakat, kecuali  ","a. go public 
b. IPO
c. investasi modal
d. pasar perdana
e. primary market",Jawaban : C ,Jawaban: c. investasi modal,1
16,21. Bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah  ,"a. perusahaan perorangan
b. firma 
c. CV 
d. perseroan terbatas
e. perusahaan daerah",Jawaban : D ,"Berdasarkan informasi yang diberikan, bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah perseroan terbatas (PT). Hal ini sesuai dengan Pasal 31 ayat (1) dari Peraturan Otoritas Jasa Keuangan (POJK) Nomor 22/POJK.04/2021 tentang Penerapan Klasifikasi Saham dengan Hak Suara Multipel oleh Emiten dengan Inovasi dan Tingkat Pertumbuhan Tinggi yang Melakukan Penawaran Umum Efek Bersifat Ekuitas Berupa Saham.",1
17,"23. Dari beberapa fungsi pasar modal di bawah ini, yang secara langsung menguntungkan pemerintah adalah  ","a. sarana untuk mendapatkan tambahan modal 
b. sarana pemerataan pendapatan
c. memperbesar produksi nasional
d. meningkatkan pemasukan pajak
e. meminimalkan jumlah pengangguran",Jawaban : D ,"Dalam konteks yang diberikan, fungsi pasar modal yang secara langsung menguntungkan pemerintah adalah meningkatkan pemasukan pajak. Hal ini sesuai dengan Pasal 1 angka 12(b) Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan yang menyebutkan bahwa pasar modal berkaitan dengan kegiatan penawaran umum dan transaksi Efek, termasuk Emiten dan Perusahaan Publik yang berkaitan dengan Efek yang diterbitkannya. Dalam hal ini, pemerintah dapat memperoleh pemasukan pajak dari kegiatan transaksi Efek yang dilakukan di pasar modal. Oleh karena itu, jawaban yang tepat adalah d. meningkatkan pemasukan pajak.",1
18,24. Di bawah ini fungsi pasar modal di Indonesia yaitu  ,"a. sarana untuk mendapatkan tambahan modal 
b. sarana pemusatan pendapatan masyarakat
c. meningkatkan upah buruh
d. mengurangi pemasukan pajak untuk pemerintah
e. memperoleh pengakuan Negara lain tentang keberhasilan pembangunan Indonesia ",Jawaban : A ,"Fungsi pasar modal di Indonesia, sebagaimana diatur dalam Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, Pasal 1 adalah sebagai berikut:

a. Sarana untuk mendapatkan tambahan modal (Pasal 1 ayat 12 huruf a)
b. Sarana pemusatan pendapatan masyarakat (Pasal 1 ayat 12 huruf a)
e. Memperoleh pengakuan Negara lain tentang keberhasilan pembangunan Indonesia (tidak diatur dalam Undang-Undang tersebut)

Jadi, fungsi pasar modal di Indonesia adalah sebagai sarana untuk mendapatkan tambahan modal dan sarana pemusatan pendapatan masyarakat.",0
19,"25. Berikut adalah keuntungan seseorang yang memiliki saham, kecuali  ","a. mendapat pembagian keuntungan
b. memiliki sebagian kecil perusahaan
c. gaji meningkat
d. memperoleh capital gain 
e. menerima deviden",Jawaban : C ,"Jawaban:

Pada konteks yang diberikan, terdapat pertanyaan mengenai keuntungan seseorang yang memiliki saham, kecuali salah satu dari pilihan yang diberikan. Dalam hal ini, pilihan yang tidak termasuk keuntungan seseorang yang memiliki saham adalah:

c. gaji meningkat

Gaji meningkat bukanlah salah satu keuntungan langsung dari memiliki saham. Keuntungan yang umumnya diperoleh oleh pemegang saham antara lain adalah mendapat pembagian keuntungan (dividen), memiliki sebagian kecil perusahaan, memperoleh capital gain (keuntungan dari kenaikan harga saham), dan menerima dividen.

Referensi: Peraturan Otoritas Jasa Keuangan Nomor 25/POJK.04/2017 tentang Pembatasan atas Saham yang Diterbitkan Sebelum Penawaran Umum (POJK 25/2017), Pasal 2 Ayat (1)",1
20,"26. Pasar modal yang terdapat di Indonesia ada dua, yaitu  ","a. Bursa Efek Indonsia (BEI) dan Bursa Efek Makasar (BEM) 
b. Bursa Efek Indonesia (BEI) dan Bursa Efek Surabaya (BES) 
c. Bursa Efek Makasar (BEM) dan Bursa Efek Surabaya (BES) 
d. Bursa Efek Samarinda (BES) dan Bursa Efek Jakarta (BEJ) 
e. Bursa Efek Semarang (BES) dan Bursa Efek Yogyakarta ",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
21,"27. Resiko membeli saham suatu perusahaan adalah sebagai berikut, kecuali  ","a. Tidak mendapat deviden
b. Mendapat capital gain 
c. Perusahan bangkrutatu dilikuidasi
d. Saham dihpucatatkan dari bursa efek (delisting) 
e. Capital loss ",Jawaban: B ,"Jawaban: c. Perusahaan bangkrut atau dilikuidasi

Penjelasan: Berdasarkan Pasal 27 dari Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.04/2017 tentang Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka, tidak ada klausul yang menyebutkan bahwa risiko membeli saham suatu perusahaan adalah perusahaan bangkrut atau dilikuidasi.",0
22,"28. Di bawah ini yang termasuk contoh effek, kecuali  ","a. obligasi
b. surat pengkuan utang
c. kuitansi
d. tanda bukti uang
e. saham",Jawaban : C ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
23,29. Indeks yang menunjukkan harga 45 saham yang sangat sering diperdagangkan atau sangat likuid disebut  ,"a. IHSG 
b.Indeks saham likuid
c.Indeks sektoral
d.Indeks LQ45 
e.IHSG 45 ",Jawaban : D ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
24,30. Indeks yang terdiri dari 39 jenis saham yang dipilih berdasarkan aturan syariah islam adalah :,"a. Indeks LQ45 
b. IHSG 
c. Indeks Sektoral 
d. Indeks Syariah 
e. Indeks Kompas 100 Pembahasan :",Jawaban : D ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
25,"31. Selembar kertas yang menyatakan bahwa pemilik kertas tersebut telah membeli utang perusahaan yang menerbitkannya, disebut","a. saham 
b. obligasi 
c. reksa dana 
d. modal 
e. utang",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
26,34. Pihak yang kegiatan usahanya mengelola efek untuk para nasabah disebut  ,"a. investor
b. debitur
c. broker
d. emiten sekuritas
e. manajer investasi",Jawaban : E ,"Pihak yang kegiatan usahanya mengelola efek untuk para nasabah disebut Manajer Investasi. Hal ini sesuai dengan penjelasan dalam Undang-Undang No.8 Tahun 1995 Pasal 31 yang menyebutkan bahwa ""segala kegiatan yang berkaitan dengan Efek"" dalam Pasal ini adalah kegiatan yang dilaksanakan oleh Perusahaan Efek yang meliputi, antara lain kegiatan sebagai Penjamin Emisi Efek, Perantara Pedagang Efek, dan Manajer Investasi.",1
27,35. Undang-undang yang mengatur pasar modal Indonesia adalah  ,"a. UU No. 1 Tahun 1995 
b. UU No. 8 Tahun 1995 
c. UU No. 18 Tahun 1995 
d. UU No. 8 Tahun 2000 
e. UU No, 1 Tahun 2000 ",Jawaban : B ,Undang-undang yang mengatur pasar modal Indonesia adalah UU No. 8 Tahun 1995 tentang Pasar Modal.,1
28,36. Pasar di mana pertama kali suatu perusahaan menawarkan sahamnya kepada public disebut  ,"a. pasar pertama 
b. pasar sekunder
c. pasar tunai
d. pasar perdana
e. pasar negosias",Jawaban : B ,Jawaban yang tepat adalah d. pasar perdana.,0
29,37. Instrumen (jenis investasi) pasar modal pada umumnya berjangka waktu diatas  ,"a. satu bulan
b. tiga bulan
c. enam bulan 
d. Sembilan bulan
e. satu tahun",Jawaban : E ,Instrumen (jenis investasi) pasar modal pada umumnya berjangka waktu di atas satu bulan.,0
30,39. Lembaga atau otoritas tertinggi di pasar modal yang melakukan pengawasan dan pembinaan atas pasar modal adalah: ,"a. Bursa Efek 
b. Kustodian
c. Bapepam
d. BAE 
e. Manajer Investasi ",Jawaban : C ,"Berdasarkan informasi yang diberikan, terdapat beberapa peraturan yang relevan dengan pengawasan pasar modal di Indonesia. 

1. Undang-Undang No. 8 Tahun 1995 tentang Pasar Modal, Bab II, Pasal 4:
   - Pembinaan, pengaturan, dan pengawasan pasar modal dilaksanakan oleh Bapepam (Badan Pengawas Pasar Modal).
   - Tujuan dari pembinaan, pengaturan, dan pengawasan ini adalah untuk mewujudkan kegiatan pasar modal yang teratur, wajar, dan efisien serta melindungi kepentingan pemodal dan masyarakat.

2. Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, Bab V, Pasal 22:
   - Otoritas Jasa Keuangan (OJK) memiliki kewenangan pengawasan dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 3 dan Pasal 4.
   - Kewenangan pengawasan OJK termasuk memeriksa keberatan yang diajukan oleh pihak yang dikenai sanksi oleh OJK, Penyelenggara Pasar, Bursa Efek, Lembaga Kliring dan Penjaminan, atau Lembaga Penyimpanan dan Penyelesaian serta memberikan keputusan menerima atau menolak seluruh atau sebagian keberatan atau memutuskan lain.
   - OJK juga memiliki kewenangan untuk melakukan tindakan yang diperlukan untuk mencegah kerugian masyarakat sebagai akibat pelanggaran atas ketentuan di bidang Pasar Modal.

3. Penjelasan atas Peraturan Pemerintah Republik Indonesia Nomor 42 Tahun 2019 tentang Pencabutan Peraturan Pemerintah Nomor 46 Tahun 1995 tentang Tata Cara Pemeriksaan di Bidang Pasar Modal:
   - Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal memberikan kewenangan kepada Badan Pengawas Pasar Modal (Bapepam) untuk melakukan pemeriksaan di bidang pasar modal.
   - Dengan dibentuknya Otoritas Jasa Keuangan melalui Undang-Undang Nomor 21 Tahun 2011 tentang Otoritas Jasa Keuangan, kewenangan pengaturan dan pengawasan di sektor keuangan dilaksanakan oleh Otoritas Jasa Keuangan.

4. Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, Bab V, Pasal 22:
   - Otoritas Jasa Keuangan (OJK) memiliki kewenangan pengawasan untuk melarang pihak tertentu menjadi pengendali pada pihak yang memperoleh izin, persetujuan, atau pendaftaran dari OJK.
   - OJK juga memiliki kewenangan untuk menetapkan tugas, kewenangan, dan tanggung jawab Pengelola Statuter pada Penyelenggara Pasar, Bursa Efek, Lembaga Kliring dan Penjaminan, Lembaga Penyimpanan dan Penyelesaian, Perusahaan Efek, dan/atau pihak lain yang memperoleh izin dari OJK.

Dalam konteks pengawasan pasar modal di Indonesia, lembaga atau otoritas tertinggi yang melakukan pengawasan dan pembinaan atas pasar modal adalah Bursa Efek, Kustodian, Bapepam, BAE (Belum ada informasi yang mendukung bahwa BAE adalah lembaga atau otoritas tertinggi di pasar modal), dan Manajer Investasi.",0
31,40. Menyebarluaskan informasi-informasi bursa ke masyarakat adalah tugas,"a. Bapepam 
b. KSEI 
c. Emiten 
d. Bursa Efek 
e. Wali Amanat ",Jawaban : D ,"Jawaban: d. Bursa Efek

Berdasarkan Peraturan Otoritas Jasa Keuangan Nomor 26/POJK.04/2017 tentang Keterbukaan Informasi Bagi Emiten atau Perusahaan Publik yang Dimohonkan Pernyataan Pailit, Pasal 5 menyatakan bahwa Bursa Efek wajib mengumumkan informasi yang diterima oleh Bursa Efek di Bursa Efek pada hari yang sama dengan diterimanya informasi tersebut.

Selain itu, berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 43/POJK.04/2020 tentang Kewajiban Keterbukaan Informasi dan Tata Kelola Perusahaan Bagi Emiten atau Perusahaan Publik yang Memenuhi Kriteria Emiten dengan Aset Skala Kecil dan Emiten dengan Aset Skala Menengah, Pasal 10 menyatakan bahwa Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di Bursa Efek wajib melakukan pengumuman Informasi atau Fakta Material paling sedikit melalui Situs Web Emiten Skala Kecil atau Emiten Skala Menengah dan Situs Web Bursa Efek.

Dengan demikian, tugas menyebarluaskan informasi-informasi bursa ke masyarakat adalah tugas Bursa Efek.",1
32,"41. Bank yang bertindak sebagai tempat penyimpanan dan penitipan uang, surat-surat berharga, maupun barang-barang berharga lainnya adalah","a. Bank Indonesia 
b. Bank Kustodian 
c. Wali Amanat 
d. Bursa Efek 
e. Manajer Investasi ",Jawaban : B,"Bank Kustodian adalah lembaga yang bertindak sebagai tempat penyimpanan dan penitipan uang, surat-surat berharga, maupun barang-barang berharga lainnya. Hal ini diatur dalam Pasal 41 huruf b Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 34/POJK.03/2018 tentang Penilaian Kembali Bagi Pihak Utama Lembaga Jasa Keuangan.",1
33,"44. Sejak tahun 1995, BEJ telah menggunakan sistem perdagangan otomatis yang di kenal dengan istilah","a. remote trading 
b. Scripless trading 
c. Jakarta automated trading system (JATS)
d. Automatic trading 
e. Halting system ",Jawaban : C ,"Sejak tahun 1995, BEJ (Bursa Efek Jakarta) telah menggunakan sistem perdagangan otomatis yang dikenal dengan istilah Jakarta Automated Trading System (JATS).",1
34,45. Istilah yang menunjukan satuan perdagangan saham adalah,"a.Fraksi harga
b.Unit penyertaan
c.Unit
d.Lot 
e.Nominal ", Jawaban : D ,"Jawaban: d. Lot

Penjelasan:
Dalam konteks yang diberikan, istilah yang menunjukkan satuan perdagangan saham adalah ""Lot"". Hal ini sesuai dengan Pasal 15 ayat (1) Peraturan Otoritas Jasa Keuangan (POJK) Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham oleh Perusahaan Terbuka. Saham yang tidak memenuhi ketentuan satuan perdagangan di Bursa Efek merupakan sejumlah saham yang jumlahnya tidak memenuhi 1 (satu) satuan perdagangan saham di Bursa Efek dan lazim disebut saham odd lot, termasuk saham dalam satuan pecahan.",1
35,46. Satu lot saham berjumlah  ,"a. 100 
b. 200 
c. 500 
d. 1000 
e. 5000 ",Jawaban : C ,"Jawaban: d. 1000

Berdasarkan Pasal 15 Ayat (1) dari Peraturan Otoritas Jasa Keuangan (POJK) Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham oleh Perusahaan Terbuka, saham yang tidak memenuhi ketentuan satuan perdagangan di Bursa Efek merupakan sejumlah saham yang jumlahnya tidak memenuhi 1 (satu) satuan perdagangan saham di Bursa Efek dan lazim disebut saham odd lot, termasuk saham dalam satuan pecahan.",0
36,47. Kelipatan harga saham disebut ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
37,48. Perdagangan saham yang kurang dari 1 lot disebut  ,"a. Lot
b. Poin
c. Add lot
d. Gain
e. loss",Jawaban : C ,"Jawaban: a. Lot

Penjelasan:
Perdagangan saham yang kurang dari 1 lot disebut ""lot"". Hal ini diatur dalam Pasal 15 Ayat (1) Peraturan Otoritas Jasa Keuangan (POJK) Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham oleh Perusahaan Terbuka.",0
38,49. Saham perusahaan dapat dicatatkan di beberapa bursa efek. Istilah yang menjelaskan suatu saham tercatat di lebih dari satu bursa di sebut?,"a. Saveral listing 
b. Secondary offering 
c. Dual listing 
d. Many listing
e. Triple listing ",Jawaban : D ,Jawaban: c. Dual listing,0
39,"50. Seorang investor membeli saham pada harga Rp.3400,-/saham.kerugian investor tersebut dikenal dengan istilah.","a. Capital gain 
b. Capital loss 
c. Depresiasi
d. Dilusi
e. Negative return ",Jawaban : B ,"Dalam konteks yang diberikan, kerugian investor tersebut dikenal dengan istilah ""b. Capital loss"". Hal ini sesuai dengan Pasal 27 dari Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.04/2017 tentang Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka, yang menyatakan bahwa jika saham yang dibeli kembali telah dijual pada harga yang lebih rendah dari harga pembelian kembali, kerugian tersebut wajib diungkapkan secara jelas dalam laporan keuangan Perusahaan Terbuka.",1
40,51. Sesi pertama perdangan saham di BEJ dimulai pukul,"a. 09.00 wib
b. 09.30 wib
c. 10.00 wib
d. 09.15 wib
e. 09.45 wib",Jawaban : B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
41,52. Sesi kedua perdangan saham di BEJ ditutup pada pukul,"a. 15.00 wib
b. 15.30 wib
c. 17.00 wib
d. 16.00 wib
e. 16.30 wib ",Jawaban : D,Sesi kedua perdagangan saham di Bursa Efek Jakarta (BEJ) ditutup pada pukul 16.00 WIB.,1
42,54. Pihak yang didasarkan kontrak dengan Emiten melaksanakan pencatatan pemilikan Efek dan pembagian hak yang berkaitan dengan Efek adalah,"a. BAE 
b.wali amanat 
c. custodian
d.manajer investasi 
e.emiten ", Jawaban : A ,"Jawaban:

Undang-Undang No.8 Tahun 1995 dalam BAB VI tentang LEMBAGA PENUNJANG PASAR MODAL, Pasal 49 menyatakan bahwa pendaftaran pemilikan Efek dalam buku daftar pemegang Efek Emiten dan pembagian hak yang berkaitan dengan Efek dapat dilakukan oleh Biro Administrasi Efek berdasarkan kontrak yang dibuat oleh Emiten dengan Biro Administrasi Efek.

Peraturan Otoritas Jasa Keuangan Nomor 20/POJK.04/2016 tentang Perizinan Perusahaan Efek yang Melakukan Kegiatan Usaha sebagai Penjamin Emisi Efek dan Perantara Pedagang Efek, Bagian Keempat, Pasal 34 (1) menyatakan bahwa jika Perusahaan Efek yang melakukan kegiatan usaha Penjamin Emisi Efek merupakan pemegang saham Bursa Efek dan melakukan penjaminan emisi Efek atas Penawaran Umum Efek bersifat ekuitas dari Emiten yang juga merupakan pemegang saham Bursa Efek yang sama, maka jumlah keseluruhan kepemilikan saham Emiten tersebut baik langsung maupun tidak langsung termasuk kepemilikan karena pelaksanaan penjaminan oleh Perusahaan Efek yang melakukan penjaminan tersebut, wajib memenuhi ketentuan sebagaimana diatur dalam Pasal 28 huruf a.

Peraturan Otoritas Jasa Keuangan Nomor 20/POJK.04/2016 tentang Perizinan Perusahaan Efek yang Melakukan Kegiatan Usaha sebagai Penjamin Emisi Efek dan Perantara Pedagang Efek, Bagian Keempat, Pasal 35 (1) menyatakan bahwa jika Perusahaan Efek yang melakukan kegiatan usaha Penjamin Emisi Efek merupakan pemegang saham Bursa Efek dan bertindak sebagai pembeli siaga atas Efek bersifat ekuitas dari Emiten yang juga merupakan pemegang saham Bursa Efek yang sama, maka kepemilikan saham Emiten tersebut baik langsung maupun tidak langsung oleh Perusahaan Efek yang bertindak sebagai pembeli siaga tersebut wajib memenuhi ketentuan sebagaimana diatur dalam Pasal 28 huruf a.

Dengan demikian, jawabannya adalah b. wali amanat.",0
,,,,,0.372093023
