,q,ch,a,answer_mcq,score,score_by_ai,
10,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris,"Jawab: D [Pasal 3 ayat (1), Peraturan Unit Komisaris dan Pemegang Saham Perusahaan Terbuka (RUPS)]

Dalam Pasal 3 ayat (1) yang berlaku untuk Perusahaan Terbuka, penyelenggaraan RUPS dapat dilakukan atas permintaan dari pemegang saham yang bersama-sama mewakili 1/10 atau lebih dari jumlah seluruh saham dengan hak suara, atau dari Dewan Komisaris. Oleh karena itu, jawaban yang tepat adalah D (Pemegang saham dan Dewan Komisaris).",1,1,
11,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari,"Jawab: C) Paling lambat 15 hari

Pasal 4 ayat (1) yang terdapat dalam konteks menetapkan bahwa Direksi wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 15 (lima belas) hari terhitung sejak tanggal permintaan penyelenggaraan RUPS diterima oleh Direksi. Oleh karena itu, jawaban yang benar adalah paling lambat 15 hari.",1,1,
12,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris,"Jawab: B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris

Pasal 5 ayat (2) yang relevan menyatakan bahwa jika Direksi tidak melakukan pengumuman RUPS atas usulan pemegang saham dalam jangka waktu tertentu, maka pemegang saham dapat mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris. Oleh karena itu, opsi yang tersedia untuk pemegang saham adalah memilih jawaban B.",1,0,
13,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan,"Jawab: C) Memberikan alasan tidak diselenggarakannya RUPS

Keputusan ini didasarkan pada Pasal 9 ayat (1) dari Peraturan Otoritas Jasa Keuangan yang relevan. Pasal tersebut menyatakan bahwa jika Direksi tidak melakukan pengumuman RUPS sebagaimana dimaksud dalam Pasal 4 ayat (1) atas usulan Dewan Komisaris sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf b, maka Direksi wajib memberikan alasan tidak diselenggarakannya RUPS. Oleh karena itu, jawaban yang tepat adalah C) Memberikan alasan tidak diselenggarakannya RUPS.",0,0,
14,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini,"Jawaban: A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini.

Pasal 10 ayat (1) menyatakan bahwa Perusahaan Terbuka wajib memiliki prosedur yang memadai untuk memastikan bahwa transaksi afiliasi dilaksanakan sesuai dengan praktik bisnis yang berlaku umum. Hal ini berlaku dalam hal transaksi afiliasi yang merupakan transaksi material dan tidak memenuhi ketentuan sebagaimana dimaksud dalam Pasal 6 ayat (1). Hal ini menunjukkan bahwa prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan yang ditetapkan oleh Otoritas Jasa Keuangan. Oleh karena itu, jawaban yang benar adalah A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini.",1,1,
15,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS,"Jawab: A) Paling lambat 5 hari sebelum pengumuman RUPS.

Pasal 13 ayat (1) dari Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham Perusahaan Terbuka menyarankan bahwa Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman RUPS, dengan tidak memperhitungkan tanggal pengumuman RUPS.",1,0,
16,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
","Jawab: B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir

Pasal 14 (1) dari Peraturan Menteri Keuangan Nomor 32/PO.01/2021 tentang Pengumuman Mata Acara Rapat Umum Pemegang Saham (RUPS) Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 14 (empat belas) hari sebelum pemanggilan RUPS, dengan tidak memperhitungkan tanggal pengumuman dan tanggal pemanggilan. Pengumuman RUPS sebagaimana dimaksud dalam ayat (1) memuat paling sedikit: a. ketentuan pemegang saham yang berhak hadir dalam RUPS; b. ketentuan pemegang saham yang berhak mengusulkan mata acara rapat; c. tanggal penyelenggaraan RUPS; dan d. tanggal pemanggilan RUPS.

Oleh karena itu, pengumuman RUPS wajib mencantumkan ketentuan pemegang saham yang berhak hadir dalam RUPS.",1,1,
17,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari,"Jawab: C) 7 (tujuh) hari

Pasal 16 ayat (1) yang tercantum dalam context menyatakan bahwa pemegang saham yang dapat mengusulkan mata acara rapat adalah 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara. Usulan mata acara rapat harus dilakukan dengan itikad baik, mempertimbangkan kepentingan Perusahaan Terbuka, dan menyertakan alasan dan bahan usulan mata acara rapat. Sama juga dengan persyaratan lain yang dimaksud dalam ayat (1) sampai dengan ayat (3).

Dalam hal ini, peraturan yang melatarbelakangi jawabannya adalah Pasal 16 ayat (1) dari Peraturan Pasal 1, 16, 17, 18, 82, 84, 85, 90, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, dan 103 Anggaran Dasar Perusahaan Terbuka (“ADARTA”) Tahun 2014, yang menetapkan bahwa pemegang saham dapat mengusulkan mata acara rapat secara tertulis kepada penyelenggara RUPS paling lambat 7 (tujuh) hari sebelum pemanggilan RUPS.

Selain itu, dalam hal pemanggilan RUPS diselenggarakan atas permintaan pemegang saham atau Dewan Komisaris, pengumuman RUPS wajib memuat informasi bahwa Perusahaan Terbuka menyelenggarakan RUPS karena adanya permintaan dari pemegang saham atau Dewan Komisaris (Pasal 15). Hal ini menunjukkan bahwa pemegang saham memiliki hak untuk mengusulkan mata acara rapat.

Dalam hal ini, pilihan yang tepat adalah C) 7 (tujuh) hari.",1,1,
18,Siapa yang dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (2)?,"A) Hanya Direksi Perusahaan Terbuka
B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki
C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
D) Anggota Dewan Komisaris",C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara,"C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara

Article 16 (2) of the regulation states that one or more shareholders who represent 1/20 (one per twenty) or more than half of the total shares with voting rights, except if the company's articles of association determine a smaller number, can propose an agenda item for the general meeting of shareholders.",1,1,
19,Apa saja informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2)?,"A) Hanya tanggal dan waktu RUPS
B) Tanggal, waktu, dan tempat RUPS
C) Tanggal, waktu, tempat, dan ketentuan pemegang saham yang berhak hadir
D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","Jawab: D

Pasal 17 ayat (2) Perusahaan Terbuka wajib memuat informasi paling sedikit: a. tanggal penyelenggaraan RUPS; b. waktu penyelenggaraan RUPS; c. tempat penyelenggaraan RUPS; d. ketentuan pemegang saham yang berhak hadir dalam RUPS; e. mata acara rapat termasuk penjelasan atas setiap mata acara tersebut; f. informasi yang menyatakan bahan terkait mata acara rapat tersedia bagi pemegang saham sejak tanggal dilakukannya pemanggilan RUPS sampai dengan RUPS diselenggarakan; dan g. informasi bahwa pemegang saham dapat memberikan kuasa melalui e-RUPS.

Hal ini menunjukkan bahwa dalam pemanggilan RUPS wajib memuat informasi seperti tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, penjelasan setiap mata acara, informasi ketersediaan bahan terkait mata acara rapat, serta informasi bahwa pemegang saham dapat memberikan kuasa melalui e-RUPS. Oleh karena itu, jawaban yang benar adalah D.",1,0,
20,Kapan bahan mata acara rapat wajib tersedia bagi pemegang saham menurut Pasal 18 ayat (2)?,"A) Setelah penyelenggaraan RUPS
B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
C) 7 (tujuh) hari setelah pemanggilan RUPS
D) Sebelum dilakukannya pemanggilan RUPS",B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS,"Jawab: B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS

Keterangan: Menurut Pasal 18 ayat (2) Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham Perusahaan Terbuka, bahan mata acara rapat wajib tersedia bagi pemegang saham sejak tanggal dilakukannya pemanggilan RUPS sampai dengan penyelenggaraan RUPS.",1,0,
21,Kapan Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1)?,"A) Setiap kali terjadi perubahan informasi
B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS
C) Jika terdapat perubahan informasi, tetapi bukan karena kesalahan Perusahaan Terbuka atau perintah Otoritas Jasa Keuangan
D) Hanya jika terdapat penambahan mata acara RUPS",A) Setiap kali terjadi perubahan informasi,"Jawab: B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS

Pasal 19 (1) yang relevan menentukan bahwa Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS jika terdapat perubahan informasi dalam pemanggilan RUPS yang telah dilakukan, seperti dimaksud dalam Pasal 17 ayat (2). Konkretnya, jika terjadi perubahan tanggal penyelenggaraan RUPS, maka Perusahaan Terbuka wajib melakukan pemanggilan ulang RUPS dengan tata cara pemanggilan sebagaimana dimaksud dalam Pasal 17. Oleh karena itu, jawaban yang benar adalah B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS.",1,0,
22,Kapan pemanggilan RUPS kedua wajib dilakukan menurut Pasal 20?,"A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan
B) Paling cepat 7 (tujuh) hari setelah RUPS pertama diselenggarakan
C) Paling lambat 10 (sepuluh) hari sejak RUPS pertama diselenggarakan
D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan",A) Paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan,"Jawab: D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.

Keterangan: Menurut Pasal 20 Ayat (1) huruf a Perusahaan Terbuka wajib melakukan RUPS kedua dalam jangka waktu paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.",1,0,
23,Bagaimana pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25?,"A) Tidak berhak memperoleh informasi
B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka
C) Berhak memperoleh informasi tanpa batasan
D) Hanya berhak jika diizinkan oleh Dewan Komisaris

",C) Berhak memperoleh informasi tanpa batasan,"Jawab: B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka

Pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS sesuai dengan Pasal 25 yang menyatakan ""Pada saat pelaksanaan RUPS, pemegang saham berhak memperoleh informasi mata acara rapat dan bahan terkait mata acara rapat sepanjang tidak bertentangan dengan kepentingan Perusahaan Terbuka."" Hal ini artinya bahwa pemegang saham hanya berhak memperoleh informasi jika informasi tersebut tidak bertentangan dengan kepentingan Perusahaan Terbuka.",1,0,
24,Siapakah yang dapat diundang oleh Perusahaan Terbuka pada saat pelaksanaan RUPS berdasarkan Pasal 26?,"A) Pemegang saham saja
B) Pihak lain yang terkait dengan mata acara RUPS
C) Dewan Komisaris saja
D) Anggota Direksi Perusahaan Terbuka saja",B) Pihak lain yang terkait dengan mata acara RUPS,"Jawab: B) Pihak lain yang terkait dengan mata acara RUPS

Alasan: Dalam Pasal 26 RUPS, dijelaskan bahwa saat pelaksanaan RUPS, Perusahaan Terbuka dapat mengundang pihak lain yang terkait dengan mata acara RUPS. Hal ini menunjukkan bahwa undangan dapat diberikan kepada pihak lain selain pemegang saham, asalkan mereka terkait dengan mata acara RUPS.",1,0,
25,Apa yang harus disediakan Perusahaan Terbuka bagi pemegang saham menurut Pasal 27?,"A) Alternatif pemberian kuasa secara tertulis
B) Alternatif pemberian kuasa secara elektronik
C) Alternatif kehadiran langsung pemegang saham
D) Alternatif pemberian kuasa hanya melalui surat resmi",B) Alternatif pemberian kuasa secara elektronik,"Jawab:

D) Alternatif pemberian kuasa hanya melalui surat resmi.

Pasal 27 yang relevan untuk pertanyaan ini adalah Pasal 27 Peraturan Otoritas Jasa Keuangan (OJK) tentang Ketentuan Pengumuman Transaksi Material dan Perubahan Kegiatan Usaha Perusahaan Terbuka yang Sahamnya Terdaftar di Bursa Efek. Hal ini dikarenakan pertanyaan bertanya mengenai apa yang harus disediakan Perusahaan Terbuka bagi pemegang saham.

Pasal 27 (1) Peraturan OJK tersebut menyatakan bahwa pengumuman transaksi material dan perubahan kegiatan usaha wajib dilakukan melalui situs web perusahaan terbuka dan situs web bursa efek. Namun, pertanyaan ini menekankan pada alternatif pemberian kuasa untuk pemegang saham.

Selanjutnya, untuk menemukan jawaban, kita perlu melihat Pasal 14 Peraturan OJK Nomor 32/POJK.04/2014 tentang Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka. Pasal 14 (1) menyatakan bahwa pemegang saham dapat memberikan kuasa kepada orang lain untuk menggantikannya dalam melakukan hal-hal yang diperlukan atau diizinkan dalam rapat umum pemegang saham. Pasal 14 (2) menyatakan bahwa kuasa dapat diberikan dalam bentuk tertulis atau elektronik. Oleh karena itu, jawabannya adalah (D) Alternatif pemberian kuasa hanya melalui surat resmi.",1,0,
26,Kapan pemberian kuasa secara elektronik harus dilakukan menurut Pasal 28?,"A) Paling lambat 7 (tujuh) hari sebelum penyelenggaraan RUPS
B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS
C) Pada hari penyelenggaraan RUPS
D) Setelah penyelenggaraan RUPS",B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS,"Jawab: B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS.

Pasal 28 (3) yang terdapat dalam context menetapkan bahwa pemberian kuasa secara elektronik harus dilakukan paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS. Oleh karena itu, jawaban yang benar adalah B.",1,0,
