,q,ch,a,answer_mcq,score,score_by_ai,
10,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris,"Jawab: D [Pasal 3 ayat (1), Peraturan UU No. 40 Tahun 2007 (RUPS)]

Dalam Pasal 3 ayat (1) diatur bahwa penyelenggaraan RUPS dapat dilakukan atas permintaan 1 (satu) orang atau lebih pemegang saham yang bersama-sama mewakili 1/10 (satu persepuluh) atau lebih dari jumlah seluruh saham dengan hak suara, atau Dewan Komisaris. Oleh karena itu, jawaban yang tepat adalah D (Pemegang saham dan Dewan Komisaris).",1,1,
11,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari,"Jawab: C) Paling lambat 15 hari

Pasal 4 ayat (1) dari context yang Anda berikan menyatakan bahwa Direksi wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 15 (lima belas) hari terhitung sejak tanggal permintaan penyelenggaraan RUPS diterima oleh Direksi. Oleh sebab itu, jawaban yang benar adalah paling lambat 15 hari.",1,1,
12,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris,"Jawab: B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris

Pasal 5 ayat (2) yang terdapat dalam konteks menyatakan bahwa dalam hal Direksi tidak melakukan pengumuman RUPS sebagaimana dimaksud dalam Pasal 4 ayat (1) atas usulan pemegang saham, maka pemegang saham wajib mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris. Oleh karena itu, opsi yang tersedia untuk pemegang saham adalah Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris.",1,1,
13,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan,"Jawab: C) Memberikan alasan tidak diselenggarakannya RUPS

Keputusan ini didasarkan pada Pasal 9 ayat (1) dari Peraturan Otoritas Jasa Keuangan yang relevan. Pasal tersebut menyatakan bahwa jika Direksi tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, maka Direksi wajib memberikan alasan tidak diselenggarakannya RUPS. Opsi lainnya seperti mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris, melakukan pengumuman RUPS sendiri, atau mengumumkan bahwa RUPS tidak akan diselenggarakan, tidak relevan atau tidak dimaksudkan dalam Pasal 9 ayat (1).",0,0,
14,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini,"Jawab: A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini.

Pasal 10 ayat (1) menyatakan bahwa Perusahaan Terbuka wajib memiliki prosedur yang memadai untuk memastikan bahwa transaksi afiliasi dilaksanakan sesuai dengan praktik bisnis yang berlaku umum. Hal ini berlaku dalam hal transaksi afiliasi yang merupakan transaksi material dan tidak memenuhi ketentuan sebagaimana dimaksud dalam Pasal 6 ayat (1). Hal ini menunjukkan bahwa prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan. Oleh karena itu, jawaban yang benar adalah A.",1,0,
15,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS,"Jawab: A) Paling lambat 5 hari sebelum pengumuman RUPS.

Pasal 13 ayat (1) Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib terlebih dahulu menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman RUPS, dengan tidak memperhitungkan tanggal pengumuman RUPS.",1,1,
16,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
","Jawab: B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir

Pasal 14 (1) dari Peraturan Menteri Keuangan Nomor 32/PO.01/2021 tentang Pengumuman Mata Acara Rapat Umum Pemegang Saham (RUPS) Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 14 (empat belas) hari sebelum pemanggilan RUPS, dengan tidak memperhitungkan tanggal pengumuman dan tanggal pemanggilan. Dalam pengumuman RUPS, wajib memuat paling sedikit: a. ketentuan pemegang saham yang berhak hadir dalam RUPS; b. ketentuan pemegang saham yang berhak mengusulkan mata acara rapat; c. tanggal penyelenggaraan RUPS; dan d. tanggal pemanggilan RUPS.

Oleh karena itu, jawaban yang benar adalah B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir.",1,1,
17,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari,"Jawab: C) 7 (tujuh) hari

Pasal 16 ayat (1) yang tercantum dalam context menyatakan bahwa pemegang saham yang dapat mengusulkan mata acara rapat adalah 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara. Usulan mata acara rapat harus dilakukan dengan itikad baik, mempertimbangkan kepentingan Perusahaan Terbuka, dan menyertakan alasan dan bahan usulan mata acara rapat.

Selain itu, Pasal 17 ayat (1) menyatakan bahwa Perusahaan Terbuka wajib melakukan pemanggilan kepada pemegang saham paling lambat 21 (dua puluh satu) hari sebelum tanggal penyelenggaraan RUPS, dengan tidak memperhitungkan tanggal pemanggilan dan tanggal penyelenggaraan RUPS.

Dalam hal ini, pertanyaan Anda bertanya mengenai berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat. Pasal 16 ayat (1) yang telah disebutkan sebelumnya menyatakan bahwa pemegang saham dapat mengusulkan mata acara rapat, tetapi tidak menentukan waktu maksimal sebelum pemanggilan RUPS untuk mengusulkan mata acara rapat. Namun, dari Pasal 17 ayat (1) yang telah disebutkan sebelumnya, kita mengetahui bahwa pemanggilan RUPS harus dilakukan paling lambat 21 (dua puluh satu) hari sebelum tanggal penyelenggaraan RUPS.

Oleh karena itu, dapat disimpulkan bahwa pemegang saham dapat mengusulkan mata acara rapat sampai dengan tanggal pemanggilan RUPS yang dilakukan oleh Perusahaan Terbuka. Namun, pemegang saham harus mempertimbangkan bahwa usulan mata acara rapat harus dilakukan dengan itikad baik dan mempertimbangkan kepentingan Perusahaan Terbuka, sehingga pemegang saham harus melakukan usulan mata acara rapat dengan cukup awal sebelum tanggal pemanggilan RUPS agar usulan dapat disetujui dan dimuat dalam pemanggilan RUPS.

Dalam hal ini, dapat kita lihat bahwa acara rapat ditetapkan secara tertulis kepada penyelenggara RUPS paling lambat 7 (tujuh) hari sebelum pemanggilan RUPS (seperti yang tercantum dalam context), maka dapat disimpulkan bahwa pemegang saham dapat mengusulkan mata acara rapat sampai dengan 7 (tujuh) hari sebelum pemanggilan RUPS. Oleh karena itu, jawaban yang benar adalah C) 7 (tujuh) hari.",1,1,
18,Siapa yang dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (2)?,"A) Hanya Direksi Perusahaan Terbuka
B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki
C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
D) Anggota Dewan Komisaris",C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara,"C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara

Article 16 (2) of the regulation states that one or more shareholders who represent 1/20 (one per twenty) or more than half of the total shares with voting rights, except if the company's articles of association determine a smaller number, can propose an agenda item for the general meeting of shareholders.",1,1,
19,Apa saja informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2)?,"A) Hanya tanggal dan waktu RUPS
B) Tanggal, waktu, dan tempat RUPS
C) Tanggal, waktu, tempat, dan ketentuan pemegang saham yang berhak hadir
D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","Jawab: D

Pasal 17 ayat (2) Perusahaan Terbuka wajib memuat informasi paling sedikit: a. tanggal penyelenggaraan RUPS; b. waktu penyelenggaraan RUPS; c. tempat penyelenggaraan RUPS; d. ketentuan pemegang saham yang berhak hadir dalam RUPS; e. mata acara rapat termasuk penjelasan atas setiap mata acara tersebut; f. informasi yang menyatakan bahan terkait mata acara rapat tersedia bagi pemegang saham sejak tanggal dilakukannya pemanggilan RUPS sampai dengan RUPS diselenggarakan; dan g. informasi bahwa pemegang saham dapat memberikan kuasa melalui e-RUPS.",1,0,
20,Kapan bahan mata acara rapat wajib tersedia bagi pemegang saham menurut Pasal 18 ayat (2)?,"A) Setelah penyelenggaraan RUPS
B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
C) 7 (tujuh) hari setelah pemanggilan RUPS
D) Sebelum dilakukannya pemanggilan RUPS",B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS,"Jawab: B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS

Keterangan: Menurut Pasal 18 ayat (2) Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham Perusahaan Terbuka, bahan mata acara rapat wajib tersedia bagi pemegang saham sejak tanggal dilakukannya pemanggilan RUPS sampai dengan penyelenggaraan RUPS.",1,0,
21,Kapan Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1)?,"A) Setiap kali terjadi perubahan informasi
B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS
C) Jika terdapat perubahan informasi, tetapi bukan karena kesalahan Perusahaan Terbuka atau perintah Otoritas Jasa Keuangan
D) Hanya jika terdapat penambahan mata acara RUPS",A) Setiap kali terjadi perubahan informasi,"Jawab: B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS

Pasal 19 (1) yang tercantum dalam konteks menyatakan bahwa Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS jika terdapat perubahan informasi dalam pemanggilan RUPS yang telah dilakukan. Namun, dalam Pasal 19 ayat (2) dan (3), perubahan informasi dimaksud adalah perubahan tanggal penyelenggaraan RUPS dan/atau penambahan mata acara RUPS. Oleh karena itu, pilihan yang tepat adalah B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS.",0,0,
22,Kapan pemanggilan RUPS kedua wajib dilakukan menurut Pasal 20?,"A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan
B) Paling cepat 7 (tujuh) hari setelah RUPS pertama diselenggarakan
C) Paling lambat 10 (sepuluh) hari sejak RUPS pertama diselenggarakan
D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan",A) Paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan,"Jawab: D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.

Pasal 20 ayat (1) Peraturan Otoritas Jasa Keuangan menetapkan bahwa pemanggilan RUPS kedua wajib dilakukan dalam jangka waktu paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan. Oleh karena itu, jawaban yang benar adalah D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.",1,0,
23,Bagaimana pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25?,"A) Tidak berhak memperoleh informasi
B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka
C) Berhak memperoleh informasi tanpa batasan
D) Hanya berhak jika diizinkan oleh Dewan Komisaris

",C) Berhak memperoleh informasi tanpa batasan,"Jawab: B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka

Pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS sesuai dengan Pasal 25 yang menyatakan bahwa pemegang saham berhak memperoleh informasi mata acara rapat dan bahan terkait mata acara rapat sepanjang tidak bertentangan dengan kepentingan Perusahaan Terbuka. Hal ini menunjukkan bahwa hak memperoleh informasi pemegang saham terbatas dan hanya berlaku jika tidak bertentangan dengan kepentingan Perusahaan Terbuka.",0,0,
24,Siapakah yang dapat diundang oleh Perusahaan Terbuka pada saat pelaksanaan RUPS berdasarkan Pasal 26?,"A) Pemegang saham saja
B) Pihak lain yang terkait dengan mata acara RUPS
C) Dewan Komisaris saja
D) Anggota Direksi Perusahaan Terbuka saja",B) Pihak lain yang terkait dengan mata acara RUPS,"Jawab: B) Pihak lain yang terkait dengan mata acara RUPS

Alasan: Dalam Pasal 26 RUPS, dijelaskan bahwa saat pelaksanaan RUPS, Perusahaan Terbuka dapat mengundang pihak lain yang terkait dengan mata acara RUPS. Hal ini menunjukkan bahwa undangan dapat diperbesar kepada pihak lain selain pemegang saham, asalkan mereka terkait dengan mata acara RUPS.",0,0,
25,Apa yang harus disediakan Perusahaan Terbuka bagi pemegang saham menurut Pasal 27?,"A) Alternatif pemberian kuasa secara tertulis
B) Alternatif pemberian kuasa secara elektronik
C) Alternatif kehadiran langsung pemegang saham
D) Alternatif pemberian kuasa hanya melalui surat resmi",B) Alternatif pemberian kuasa secara elektronik,"Jawab:

D) Alternatif pemberian kuasa hanya melalui surat resmi

Pasal 27 yang relevan untuk soal ini adalah Pasal 27 Peraturan Otoritas Jasa Keuangan (OJK) tentang Ketentuan Pengumuman Transaksi Material dan Perubahan Kegiatan Usaha Perusahaan Terbuka. Pasal 27 (1) menyatakan bahwa pengumuman transaksi material dan perubahan kegiatan usaha wajib dilakukan melalui situs web perusahaan terbuka dan situs web bursa efek. Namun, pasal ini tidak menentukan alternatif pemberian kuasa untuk pemegang saham.

Namun, dalam hal lain yang relevan, Pasal 15 Peraturan OJK Nomor 32/POJK.04/2014 tentang Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka menyatakan bahwa pemegang saham dapat memberikan kuasa kepada pihak ketiga untuk menggantikan kehadirannya dalam rapat umum pemegang saham. Kuasa tersebut dapat diberikan dalam bentuk tertulis atau elektronik, atau melalui surat resmi. Oleh karena itu, jawabannya adalah D) Alternatif pemberian kuasa hanya melalui surat resmi.",0,0,
26,Kapan pemberian kuasa secara elektronik harus dilakukan menurut Pasal 28?,"A) Paling lambat 7 (tujuh) hari sebelum penyelenggaraan RUPS
B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS
C) Pada hari penyelenggaraan RUPS
D) Setelah penyelenggaraan RUPS",B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS,"Jawab: B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS.

Keterangan: Menurut Pasal 28 ayat (3) dari Peraturan Pasar Modal Nomor 9 Tahun 2017, pemberian kuasa secara elektronik harus dilakukan paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS.",0,0,
