No,q,ch,answer_ground_truth
35,Apa yang diwajibkan oleh Pasal 14 terkait dengan Transaksi Benturan Kepentingan menurut peraturan ini?,"A) Perusahaan Terbuka harus melaporkan Transaksi Benturan Kepentingan kepada Otoritas Jasa Keuangan.
B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.
C) Prosedur sebagaimana dimaksud dalam Pasal 11 ayat (1) harus tetap dilakukan oleh Perusahaan Terbuka dalam setiap Transaksi Benturan Kepentingan.
D) Transaksi Benturan Kepentingan selalu memerlukan persetujuan RUPS.",B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.
36,Apa yang harus dilakukan oleh Perusahaan Terbuka jika Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang telah disetujui dalam RUPS tidak dilaksanakan dalam jangka waktu 12 bulan sejak tanggal persetujuan RUPS?,"A) Hanya mengungkapkan dalam laporan tahunan.
B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.
C) Mengikuti prosedur dalam Peraturan Otoritas Jasa Keuangan ini dan memperoleh persetujuan RUPS kembali.
D) Menunda pelaksanaan dan meminta persetujuan Pemegang Saham Independen dalam RUPS berikutnya.",A) Hanya mengungkapkan dalam laporan tahunan.
37,Kapan Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen?,"A) Setelah 6 bulan sejak pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
B) Setiap saat tanpa batasan waktu.
C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
D) Setelah mendapatkan persetujuan dari Otoritas Jasa Keuangan.",C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
38,Apa yang diwajibkan oleh Perusahaan Terbuka dalam hal pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan jika sahamnya tercatat pada bursa efek?,"A) Pengumuman melalui Situs Web Perusahaan Terbuka saja.
B) Pengumuman melalui Situs Web Perusahaan Terbuka dan 1 (satu) surat kabar harian berbahasa Indonesia.
C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.
D) Pengumuman melalui Surat Kabar Nasional saja.",C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.
39,Kapan bukti pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan yang dilakukan melalui surat kabar harian harus disampaikan kepada Otoritas Jasa Keuangan?,"A) Paling lambat 1 (satu) hari setelah tanggal pengumuman.
B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.
C) Pada saat pelaksanaan RUPS.
D) Bukti pengumuman tidak perlu disampaikan.",B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.
40,Apakah yang dapat menjadi sanksi administratif yang dikenakan oleh Otoritas Jasa Keuangan berdasarkan Pasal 27?,"A) Pemberian penghargaan.
B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.
C) Bebas dari sanksi.
D) Delegasi wewenang.","B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran."
41,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" dalam Peraturan Otoritas Jasa Keuangan ini?","A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.
B) Perseroan yang sahamnya dimiliki oleh lebih dari 300 pemegang saham dan memiliki modal disetor paling sedikit Rp3.000.000.000,00.
C) Emiten dengan Aset Skala Menengah.
D) Emiten yang memiliki total aset lebih dari Rp50.000.000.000,00.",A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.
42,"Apa yang dianggap sebagai ""Laporan Keuangan Berkala"" dalam konteks Peraturan Otoritas Jasa Keuangan ini?","A) Laporan pertanggungjawaban direksi dan dewan komisaris.
B) Laporan tahunan.
C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.
D) Laporan keuangan tengah tahunan saja.",C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.
43,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah terkait dengan penggunaan bahasa dalam pengumuman dan laporan berdasarkan Pasal 9 Peraturan Otoritas Jasa Keuangan?,"A) Menggunakan paling sedikit bahasa Indonesia dalam semua informasi dan laporan.
B) Menggunakan bahasa asing dalam pengumuman dan laporan.
C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan.
D) Menggunakan bahasa asing dengan syarat informasi yang sama juga disajikan dalam bahasa Indonesia.","C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan."
44,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek terkait dengan pengumuman dan keterbukaan informasi?,"A) Melakukan pengumuman hanya melalui Situs Web Emiten.
B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.
C) Melakukan pengumuman melalui Situs Web Emiten dan surat kabar harian berbahasa Indonesia.
D) Melakukan pengumuman melalui surat kabar harian berbahasa Indonesia saja.",B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.
45,Bagaimana cara Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek harus membuat pengumuman terkait Laporan Keuangan Berkala?,"A) Hanya melalui Situs Web Emiten
B) Melalui Situs Web Emiten dan surat kabar harian
C) Melalui Situs Web Emiten dan Situs Web bursa Efek
D) Melalui konferensi pers",C) Melalui Situs Web Emiten dan Situs Web bursa Efek
46,Kapan Emiten Skala Kecil dan Emiten Skala Menengah dapat mengadakan Rapat Umum Pemegang Saham baru setelah penolakan Transaksi Afiliasi atau Transaksi Benturan Kepentingan?,"A) Secara langsung setelah penolakan
B) Setelah masa tunggu 6 bulan
C) Setelah masa tunggu 12 bulan
D) Hanya jika disetujui oleh Otoritas Jasa Keuangan",C) Setelah masa tunggu 12 bulan
47,Apa tujuan utama pendirian Lembaga Kliring dan Penjaminan (LKP) dan Lembaga Penyimpanan dan Penyelesaian (LPP)?,"A) Menyediakan layanan perbankan
B) Menawarkan saran investasi
C) Mengatur pasar saham
D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek",D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek
48,Siapakah yang dapat melakukan kegiatan usaha sebagai Wali Amanat?,"A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
B). Hanya Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
C). Hanya Bank umum.
D). Semua lembaga keuangan.",A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
49,Siapakah yang bertanggung jawab atas kerugian akibat informasi yang tidak benar atau tidak memuat informasi tentang Fakta Material dalam Prospektus?,"A). Hanya pembeli Efek.
B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.
C). Hanya pihak yang menawarkan atau menjual Efek.
D). Tidak ada yang bertanggung jawab.",B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.
50,Ancaman pidana apa yang berlaku bagi Pihak yang mempengaruhi orang lain untuk melakukan pelanggaran Pasal-Pasal tertentu?,"A). Pidana kurungan
B). Pidana denda
C). Pidana kurungan dan denda
D). Pidana penjara
",C). Pidana kurungan dan denda
